"trials","trial_all","w1","w2","w3","w4","w5","correct","task","trialBlock.thisRepN","trialBlock.thisTrialN","trialBlock.thisN","trialBlock.thisIndex","word_1.started","word_2.started","word_3.started","word_4.started","word_5.started","SAW_choice.x","SAW_choice.y","SAW_choice.leftButton","SAW_choice.midButton","SAW_choice.rightButton","SAW_choice.time","SAW_choice.clicked_name","feedbackText.started","choice_correct","feedbackText.stopped","participant","date","expName","psychopyVersion","frameRate","X"
1,1,"Bamu","Paum","Buma","Baum","Baun","word_4","practice",0,0,0,0,49.5870297381189,49.5870297381189,49.5870297381189,49.5870297381189,49.5870297381189,"[0.009375]","[-0.15625]","[1]","[0]","[0]","[2.052822445286438]","['word_4']",51.62424817594,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
2,2,"Purk","Brug","Lurk","Krub","Burg","word_5","practice",0,1,1,1,53.1439258966711,53.1439258966711,53.1439258966711,53.1439258966711,53.1439258966711,"[-0.0140625]","[-0.1375]","[1]","[0]","[0]","[2.2543755975784734]","['word_4']",55.3833344505401,0,56.3851699708612,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
3,3,"Maschine","Mischane","Schamire","Meschina","Manischa","word_1","practice",0,2,2,2,56.9179763284628,56.9179763284628,56.9179763284628,56.9179763284628,56.9179763284628,"[0.0078125]","[0.325]","[1]","[0]","[0]","[1.0688296064035967]","['word_1']",57.9551001518266,1,58.9567076352541,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
1,4,"siziol","salzahl","sozihl","sziam","sozial","word_5","main",0,3,3,3,81.2480531072943,81.2480531072943,81.2480531072943,81.2480531072943,81.2480531072943,"[0.0265625]","[-0.3140625]","[1]","[0]","[0]","[1.9374746024259366]","['word_5']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
2,5,"Lamone","Talane","Matrone","Tarone","Malonte","word_3","main",0,4,4,4,84.6880151075311,84.6880151075311,84.6880151075311,84.6880151075311,84.6880151075311,"[0.0484375]","[0.0015625]","[1]","[0]","[0]","[3.289837734599132]","['word_3']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
3,6,"kurinesisch","kulinarisch","kumenisch","kulissarisch","kannastrisch","word_2","main",0,5,5,5,89.4973676336231,89.4973676336231,89.4973676336231,89.4973676336231,89.4973676336231,"[0.01875]","[0.1546875]","[1]","[0]","[0]","[1.1516037790570408]","['word_2']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
4,7,"Tinxur","Kukutur","Fraktan","Tinktur","Rimsuhr","word_4","main",0,6,6,6,92.1354125206126,92.1354125206126,92.1354125206126,92.1354125206126,92.1354125206126,"[-0.009375]","[-0.1453125]","[1]","[0]","[0]","[2.0033397296792828]","['word_4']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
5,8,"beralen","gerältet","anälteren","untären","verbrämen","word_5","main",0,7,7,7,95.6256452625385,95.6256452625385,95.6256452625385,95.6256452625385,95.6256452625385,"[0.0203125]","[-0.0015625]","[1]","[0]","[0]","[3.7400678080739453]","['word_3']",NA,0,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
6,9,"Rosto","Torso","Soro","Torgos","Tosor","word_2","main",0,8,8,8,100.835590876872,100.835590876872,100.835590876872,100.835590876872,100.835590876872,"[0.015625]","[0.1609375]","[1]","[0]","[0]","[0.9021118907257915]","['word_2']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
7,10,"Redor","Radium","Terion","Dramin","Orakium","word_2","main",0,9,9,9,103.240111266612,103.240111266612,103.240111266612,103.240111266612,103.240111266612,"[0.0046875]","[0.128125]","[1]","[0]","[0]","[0.9345091610448435]","['word_2']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
8,11,"Nale","Sahe","Nase","Nesa","Sehna","word_3","main",0,10,10,10,105.661430692358,105.661430692358,105.661430692358,105.661430692358,105.661430692358,"[0.0140625]","[0.021875]","[1]","[0]","[0]","[1.2357442484935746]","['word_3']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
9,12,"Rilkiase","Kilister","Riliker","Klistier","Linkure","word_4","main",0,11,11,11,108.400158182543,108.400158182543,108.400158182543,108.400158182543,108.400158182543,"[0.0234375]","[0.1453125]","[1]","[0]","[0]","[6.947012059681583]","['word_2']",NA,0,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
10,13,"kentern","knerte","kanzen","kretern","trekern","word_1","main",0,12,12,12,116.849695806566,116.849695806566,116.849695806566,116.849695806566,116.849695806566,"[-0.0109375]","[0.3109375]","[1]","[0]","[0]","[3.7905069313710555]","['word_1']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
11,14,"Sorekin","Rimsuhr","Rosakin","Narosin","Kerosin","word_5","main",0,13,13,13,122.143383547431,122.143383547431,122.143383547431,122.143383547431,122.143383547431,"[-0.028125]","[-0.309375]","[1]","[0]","[0]","[2.6877880328102037]","['word_5']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
12,15,"Ralke","Korre","Ruckse","Recke","Ulte","word_4","main",0,14,14,14,126.317757015349,126.317757015349,126.317757015349,126.317757015349,126.317757015349,"[-0.046875]","[-0.1265625]","[1]","[0]","[0]","[3.356682361976709]","['word_4']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
13,16,"Kapaun","Paukan","Naupack","Aupeck","Ankepran","word_1","main",0,15,15,15,131.19373350864,131.19373350864,131.19373350864,131.19373350864,131.19373350864,"[0.021875]","[0.290625]","[1]","[0]","[0]","[2.7555489770602435]","['word_1']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
14,17,"Dissonanz","Diskrisanz","Distranz","Dinotanz","Dinotanz","word_1","main",0,16,16,16,135.435533402604,135.435533402604,135.435533402604,135.435533402604,135.435533402604,"[0.0203125]","[0.290625]","[1]","[0]","[0]","[0.717353284242563]","['word_1']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
15,18,"Kirse","Sirke","Krise","Krospe","Seris","word_3","main",0,17,17,17,137.639542361139,137.639542361139,137.639542361139,137.639542361139,137.639542361139,"[0.0]","[-0.021875]","[1]","[0]","[0]","[1.7536230117548257]","['word_3']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
16,19,"Tume","Umat","Maut","Taum","Muta","word_3","main",0,18,18,18,140.895842320402,140.895842320402,140.895842320402,140.895842320402,140.895842320402,"[0.0140625]","[0.0109375]","[1]","[0]","[0]","[1.7362315930658951]","['word_3']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
17,20,"Tuhl","Tuhl","Lest","Dall","Lid","word_5","main",0,19,19,19,144.118516945804,144.118516945804,144.118516945804,144.118516945804,144.118516945804,"[-0.0140625, -0.01875]","[-0.3390625, -0.284375]","[1, 1]","[0, 0]","[0, 0]","[2.2372680222033523, 2.772305997845251]","['word_5']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
18,21,"Adept","Padet","Edapt","Epatt","Taped","word_1","main",0,20,20,20,148.393609259045,148.393609259045,148.393609259045,148.393609259045,148.393609259045,"[-0.00625]","[-0.3015625]","[1]","[0]","[0]","[5.476732703275047]","['word_5']",NA,0,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
19,22,"Spirine","Saprin","Parsin","Purin","Asprint","word_4","main",0,21,21,21,155.357117909181,155.357117909181,155.357117909181,155.357117909181,155.357117909181,"[-0.0125]","[-0.15]","[1]","[0]","[0]","[3.874119804939255]","['word_4']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
20,23,"Kulon","Solgun","Koskan","Soran","Klonus","word_5","main",0,22,22,22,160.733918510377,160.733918510377,160.733918510377,160.733918510377,160.733918510377,"[0.0078125]","[-0.3046875]","[1]","[0]","[0]","[5.042621724656783]","['word_5']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
21,24,"Tronke","Nocktherm","Teronk","Komtur","Rocktur","word_4","main",0,23,23,23,167.26316896826,167.26316896826,167.26316896826,167.26316896826,167.26316896826,"[-0.015625]","[0.171875]","[1]","[0]","[0]","[6.862438288109843]","['word_2']",NA,0,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
22,25,"Ripat","Patinatte","Tapir","Apitt","Padir","word_3","main",0,24,24,24,175.612619579071,175.612619579071,175.612619579071,175.612619579071,175.612619579071,"[0.0375]","[-0.015625]","[1]","[0]","[0]","[1.8204516028054059]","['word_3']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
23,26,"Akifer","Fiaker","Kiaffa","Sariffer","Refisker","word_2","main",0,25,25,25,178.952050359279,178.952050359279,178.952050359279,178.952050359279,178.952050359279,"[0.0484375]","[0.171875]","[1]","[0]","[0]","[1.3693568494636565]","['word_2']",NA,1,NA,103,"2022-12-19_13h10.07.304","SAW","2022.2.4",59.8718615937031,NA
