block,trial_n,x,y
1,1,NaN,NaN
1,2,NaN,NaN
1,3,NaN,NaN
1,4,NaN,NaN
1,5,NaN,NaN
1,6,NaN,NaN
1,7,NaN,NaN
1,8,NaN,NaN
1,9,NaN,NaN
1,10,NaN,NaN
1,11,NaN,NaN
1,12,NaN,NaN
1,13,NaN,NaN
1,14,NaN,NaN
1,15,NaN,NaN
1,16,NaN,NaN
1,17,NaN,NaN
1,18,NaN,NaN
1,19,NaN,NaN
1,20,NaN,NaN
1,21,1093.19995117188,321.100006103516
1,22,775.799987792969,592.099975585938
1,23,746.400024414062,657.099975585938
1,24,1149.19995117188,420.799987792969
1,25,1071.5,662.799987792969
1,26,1044,326.600006103516
1,27,1026.59997558594,347
1,28,961.900024414062,348.899993896484
1,29,1056.30004882812,319.399993896484
1,30,1009.40002441406,331.100006103516
1,31,958.299987792969,610.400024414062
1,32,1045.80004882812,371.700012207031
1,33,1015.79998779297,359.399993896484
1,34,642.200012207031,575.900024414062
1,35,967.700012207031,417.100006103516
1,36,1076.80004882812,487.399993896484
1,37,NaN,NaN
1,38,1151.90002441406,395.5
1,39,1118.80004882812,344.899993896484
1,40,1078,418.899993896484
1,41,1034.30004882812,372.799987792969
1,42,1108.19995117188,511.5
1,43,1071.09997558594,340.899993896484
1,44,1053.90002441406,412.399993896484
1,45,885,262.100006103516
1,46,1130.90002441406,365.600006103516
1,47,1133.90002441406,383.399993896484
1,48,1171.59997558594,551.5
1,49,1081.40002441406,351.299987792969
1,50,1029,396.200012207031
1,51,NaN,NaN
1,52,1071.90002441406,396.700012207031
1,53,1058.40002441406,349.100006103516
1,54,1034.19995117188,262.299987792969
1,55,928.900024414062,277
1,56,1006.29998779297,383.399993896484
1,57,835.599975585938,395.100006103516
1,58,953,372.700012207031
1,59,NaN,NaN
1,60,1022.20001220703,320.5
1,61,1099.90002441406,390.100006103516
1,62,1084,356.899993896484
1,63,1056.40002441406,358.200012207031
1,64,1073.19995117188,366.899993896484
1,65,721.700012207031,596
1,66,718.099975585938,624.900024414062
1,67,770.299987792969,640.299987792969
1,68,858.5,405.100006103516
1,69,783.400024414062,350.700012207031
1,70,NaN,NaN
1,71,781.200012207031,323.100006103516
1,72,NaN,NaN
1,73,751.099975585938,526.400024414062
1,74,798.299987792969,348.5
1,75,NaN,NaN
1,76,827.099975585938,332
1,77,NaN,NaN
1,78,966.299987792969,607.099975585938
1,79,819.299987792969,587.900024414062
1,80,NaN,NaN
1,81,768.200012207031,447.899993896484
1,82,800.799987792969,593.200012207031
1,83,NaN,NaN
1,84,773,692.200012207031
1,85,812.099975585938,589
1,86,820.700012207031,439.5
1,87,832.200012207031,386.799987792969
1,88,709,472.200012207031
1,89,967.5,483.100006103516
1,90,NaN,NaN
1,91,879.900024414062,430
1,92,NaN,NaN
1,93,803.200012207031,619.900024414062
1,94,745.799987792969,542.799987792969
1,95,NaN,NaN
1,96,993.799987792969,534.400024414062
1,97,NaN,NaN
1,98,736.599975585938,499.5
2,99,873.700012207031,508.5
2,100,891.700012207031,506.399993896484
2,101,NaN,NaN
2,102,759.700012207031,545.299987792969
2,103,834.5,396.399993896484
2,104,NaN,NaN
2,105,796.700012207031,350.600006103516
2,106,1011.70001220703,427.200012207031
2,107,876.5,235.699996948242
2,108,848.799987792969,553.700012207031
2,109,1249.30004882812,480.399993896484
2,110,1095.5,596.400024414062
2,111,1145.90002441406,613.900024414062
2,112,1091,606.799987792969
2,113,1030.90002441406,466.299987792969
2,114,1102.80004882812,568.099975585938
2,115,967.5,672.5
2,116,999,630.200012207031
2,117,NaN,NaN
2,118,899.099975585938,620.700012207031
2,119,1035.80004882812,414.799987792969
2,120,NaN,NaN
2,121,939.099975585938,576.599975585938
2,122,1124.80004882812,557.900024414062
2,123,1104.09997558594,564.099975585938
2,124,1087.59997558594,595
2,125,1050.90002441406,576.900024414062
2,126,944.5,536.900024414062
2,127,1063.5,341
2,128,984.799987792969,516.599975585938
2,129,895.200012207031,468.5
2,130,1071.5,613.900024414062
2,131,1066.5,522.599975585938
2,132,997.900024414062,666.900024414062
2,133,912,684
2,134,766.400024414062,754.200012207031
2,135,795.099975585938,614.5
2,136,1035.40002441406,570.099975585938
2,137,1006,625.400024414062
2,138,929.400024414062,586
2,139,1000,633.200012207031
2,140,1040.80004882812,618.900024414062
2,141,1021.90002441406,530.599975585938
2,142,1067.5,502.299987792969
2,143,881.5,518.900024414062
2,144,955.5,658
2,145,1045.69995117188,592.400024414062
2,146,1044.19995117188,655.700012207031
2,147,1082,443.700012207031
2,148,987.900024414062,641.299987792969
2,149,865.200012207031,444.299987792969
2,150,904.5,317.899993896484
2,151,1053.80004882812,437.100006103516
2,152,1016.40002441406,650.099975585938
2,153,1035.90002441406,351.700012207031
2,154,1093.59997558594,463
2,155,1182.40002441406,458.200012207031
2,156,1246.80004882812,473.899993896484
2,157,1128.30004882812,457.100006103516
2,158,1283.59997558594,458.700012207031
2,159,1205.59997558594,468.600006103516
2,160,1129.30004882812,708.900024414062
2,161,1161.09997558594,555.799987792969
2,162,1112.80004882812,333.299987792969
2,163,1201.09997558594,465.5
2,164,1233.5,439.899993896484
2,165,956.5,405.799987792969
2,166,1012.09997558594,350.100006103516
2,167,NaN,NaN
