block,trial_n,x,y
1,1,1220.69995117188,713.599975585938
1,2,NaN,NaN
1,3,1129,623.099975585938
1,4,1332,796.599975585938
1,5,1227.69995117188,525.099975585938
1,6,1144.5,776.099975585938
1,7,NaN,NaN
1,8,1189.80004882812,676.599975585938
1,9,1182.40002441406,627.599975585938
1,10,928.099975585938,581.299987792969
1,11,1242.69995117188,624.200012207031
1,12,1277.90002441406,539.099975585938
1,13,1203.69995117188,523.900024414062
1,14,1030.59997558594,416.200012207031
1,15,1274,696.599975585938
1,16,1261,615.299987792969
1,17,1207.19995117188,706.799987792969
1,18,1269.19995117188,607.799987792969
1,19,NaN,NaN
1,20,NaN,NaN
1,21,NaN,NaN
1,22,NaN,NaN
1,23,1153,600.299987792969
1,24,1073.59997558594,636.900024414062
1,25,906.5,473.5
1,26,1104.69995117188,642.599975585938
1,27,1283.69995117188,665.400024414062
1,28,820.400024414062,508.700012207031
1,29,875.799987792969,657.700012207031
1,30,1118.69995117188,561.5
1,31,1194.59997558594,705.900024414062
1,32,1239.90002441406,671.299987792969
1,33,1277.30004882812,625.200012207031
1,34,1090.40002441406,502.600006103516
1,35,1167.80004882812,588.400024414062
1,36,1124.30004882812,525.5
1,37,1197,623.200012207031
1,38,1157.90002441406,561.200012207031
1,39,NaN,NaN
1,40,1063.90002441406,443.799987792969
1,41,NaN,NaN
1,42,1030.30004882812,482.5
1,43,1050.09997558594,637.5
1,44,1081.69995117188,483.899993896484
1,45,1188,525.900024414062
1,46,938.900024414062,658.099975585938
1,47,861.299987792969,618
1,48,NaN,NaN
1,49,NaN,NaN
1,50,1109.09997558594,542.099975585938
1,51,NaN,NaN
1,52,1215.40002441406,547.799987792969
1,53,1119.90002441406,656
1,54,NaN,NaN
1,55,1260.69995117188,592
1,56,1168.90002441406,662.099975585938
1,57,1020.5,609.099975585938
1,58,NaN,NaN
1,59,1051,358.700012207031
1,60,712.400024414062,428.200012207031
1,61,NaN,NaN
1,62,993.5,533.400024414062
1,63,1154.30004882812,490.299987792969
1,64,1030,463.5
1,65,976.799987792969,503.5
1,66,NaN,NaN
1,67,992.799987792969,514.5
1,68,1225.5,635.099975585938
1,69,808.700012207031,531.200012207031
1,70,1134.19995117188,631.400024414062
1,71,977.5,537.5
1,72,841.5,487.600006103516
1,73,1037.40002441406,820.799987792969
1,74,NaN,NaN
1,75,782.099975585938,508
1,76,980.700012207031,306.399993896484
1,77,1178.30004882812,566.200012207031
1,78,1147.40002441406,574.799987792969
1,79,821.900024414062,925.5
1,80,1033.19995117188,591.400024414062
1,81,904.099975585938,499.600006103516
1,82,1151.09997558594,554.400024414062
1,83,795.299987792969,434.5
1,84,837.400024414062,519.599975585938
1,85,1068.90002441406,489.299987792969
