"list","radians","center","pos_1","pos_2","type","trial_type","degrees","human_manmade","cat_obj","old_new","key1","key2","response","map_file","PE","sequence","object","isFiller","key_resp.keys","key_resp2.keys","stimulus","truck","natural_manmade_resp.corr","natural_manmade_resp.keys","participant","handedness","conf_resp.keys","phase","key_resp_5.keys","age","gender"
"","","","","","","","","","","",NA,NA,NA,"","","","","","","","","",NA,"","33","r",NA,"","",27,"m"
"","","","","","","","","","","",NA,NA,NA,"","","","","","","","","",NA,"","33","r",NA,"","",27,"m"
"","","","","","","","","","","",NA,NA,NA,"","","","","","","","","",NA,"","33","r",NA,"","",27,"m"
"","","","","","","","","","","",NA,NA,NA,"","","","","","","","","",NA,"","33","r",NA,"","",27,"m"
"","","","","","","","","","","",NA,NA,NA,"","","","","","","","","",NA,"","33","r",NA,"","",27,"m"
"","","","","","","","","","","",NA,NA,NA,"","","","","","","","","",NA,"","33","r",NA,"","",27,"m"
"","","","","","","","","","","",NA,NA,NA,"","","","","","","","","",NA,"","33","r",NA,"","",27,"m"
"","","","","","","","","","","",NA,NA,NA,"","","","","","","","","",NA,"","33","r",NA,"","",27,"m"
"","","","","","","","","","","",NA,NA,NA,"","","","","","","","","",NA,"","33","r",NA,"","",27,"m"
"","","","","","","","","","","",NA,NA,NA,"","","","","","","","","",NA,"","33","r",NA,"","",27,"m"
"","4.62757655458138","229.016806722689","319.016806722689","139.016806722689","practice","target","265.27508911613","natural","1","",0,0,NA,"practice_map.png","","","objects/2/2_23.jpg","None","None","None","None","truck_1.png",NA,"","33","r",NA,"","",27,"m"
"","3.14232927413905","229.016806722689","319.016806722689","139.016806722689","practice","target","180.133525269118","human-made","0","",1,0,NA,"practice_map.png","","","objects/1/1_54.jpg","None","None","None","None","truck_1.png",NA,"","33","r",NA,"","",27,"m"
"","4.31076872183838","229.016806722689","319.016806722689","139.016806722689","practice","target","247.114130551245","natural","1","",0,0,NA,"practice_map.png","","","objects/1/1_9.jpg","None","None","None","None","truck_1.png",NA,"","33","r",NA,"","",27,"m"
