block,trial_n,x,y
1,1,607.700012207031,534
1,2,635.5,473.200012207031
1,3,649,531
1,4,664.700012207031,652
1,5,622.900024414062,509.899993896484
1,6,654,680.5
1,7,NaN,NaN
1,8,NaN,NaN
1,9,621.900024414062,580.5
1,10,644.200012207031,601.599975585938
1,11,693.400024414062,718.400024414062
1,12,646.799987792969,424.600006103516
1,13,1035.5,834.799987792969
1,14,700.5,735.5
1,15,759.200012207031,803
1,16,628.5,536.700012207031
1,17,696.900024414062,714.5
1,18,618,548.799987792969
1,19,660.299987792969,421.600006103516
1,20,673.599975585938,417.799987792969
1,21,608.700012207031,520.900024414062
1,22,1018.90002441406,844.799987792969
1,23,1056.69995117188,895.599975585938
1,24,832.200012207031,860.799987792969
1,25,668.599975585938,386.600006103516
1,26,925.599975585938,845.700012207031
1,27,638.400024414062,432.700012207031
1,28,1256.09997558594,509.899993896484
1,29,641.099975585938,624.799987792969
1,30,629,444.299987792969
1,31,1015,752.799987792969
1,32,1246.40002441406,621.400024414062
1,33,1189.80004882812,756.799987792969
1,34,1238.09997558594,586.200012207031
1,35,630.900024414062,627.5
1,36,1027.40002441406,854.900024414062
1,37,681.599975585938,432.799987792969
1,38,626.799987792969,573.299987792969
1,39,642.299987792969,550.099975585938
1,40,1224.30004882812,725.099975585938
1,41,628.599975585938,577.799987792969
1,42,1155.90002441406,805.599975585938
1,43,630.099975585938,468.100006103516
1,44,641.299987792969,713
1,45,1047,756.900024414062
1,46,653.599975585938,403.299987792969
1,47,643.099975585938,431.200012207031
1,48,809.700012207031,830
1,49,637.099975585938,461.700012207031
1,50,635.299987792969,540.400024414062
1,51,1285.5,524.200012207031
1,52,1204.09997558594,759
1,53,663.400024414062,617.799987792969
1,54,897.400024414062,853.599975585938
1,55,646,468.299987792969
1,56,647.299987792969,435.100006103516
1,57,611.700012207031,560
1,58,1250,457.299987792969
1,59,1228.5,685.700012207031
1,60,645.400024414062,417.700012207031
1,61,1268.5,454
1,62,882.299987792969,855
1,63,637.700012207031,439.5
1,64,646.599975585938,400.799987792969
1,65,828,815.299987792969
1,66,1270.69995117188,504.899993896484
1,67,603.599975585938,584.700012207031
1,68,1276.30004882812,473.700012207031
1,69,1276.30004882812,581.5
1,70,610.099975585938,508.299987792969
1,71,936.099975585938,864.599975585938
1,72,603,646.099975585938
1,73,1292.30004882812,573
1,74,668.099975585938,354.600006103516
1,75,632.599975585938,424.299987792969
1,76,648.200012207031,678.900024414062
1,77,624.700012207031,510.200012207031
1,78,626.400024414062,575
1,79,653.099975585938,445.299987792969
1,80,1280.09997558594,535.099975585938
1,81,948.099975585938,837.400024414062
1,82,902.400024414062,807.299987792969
1,83,926,829.299987792969
1,84,1257.59997558594,665.200012207031
1,85,627.700012207031,674.299987792969
1,86,1252.19995117188,361.200012207031
1,87,618.299987792969,409.200012207031
1,88,1140.40002441406,804.200012207031
1,89,858.200012207031,873.900024414062
1,90,722.900024414062,739
1,91,753.700012207031,764.200012207031
1,92,751,263.5
1,93,1133.90002441406,792.099975585938
1,94,955.5,624.400024414062
1,95,1054.5,207.5
1,96,582.099975585938,432.600006103516
1,97,581.799987792969,495.299987792969
1,98,NaN,NaN
1,99,589.900024414062,361.899993896484
1,100,NaN,NaN
2,101,906.5,218.300003051758
2,102,952.099975585938,231.699996948242
2,103,1030.09997558594,245.600006103516
2,104,1116.30004882812,263.899993896484
2,105,932,202.5
2,106,927.099975585938,197.5
2,107,963.299987792969,168.699996948242
2,108,873.599975585938,210
2,109,981.299987792969,255.699996948242
2,110,1006.29998779297,222.199996948242
2,111,NaN,NaN
2,112,NaN,NaN
2,113,964.799987792969,181.100006103516
2,114,NaN,NaN
2,115,996.099975585938,166
2,116,909.799987792969,161.5
2,117,1046.19995117188,184.699996948242
2,118,896.799987792969,169.800003051758
2,119,983.900024414062,177.600006103516
2,120,1216.19995117188,688.599975585938
2,121,1013,171.100006103516
2,122,NaN,NaN
2,123,836.799987792969,185
2,124,815,178.199996948242
2,125,1021,184.100006103516
2,126,608.799987792969,635.200012207031
2,127,963.599975585938,190.399993896484
2,128,885.299987792969,183.5
2,129,884.200012207031,832.900024414062
2,130,877.299987792969,149.800003051758
2,131,619,306.5
2,132,829.799987792969,160.800003051758
2,133,852,159.899993896484
