block,trial_n,x,y
1,1,1256.5,475.700012207031
1,2,709,528.599975585938
1,3,867.400024414062,498
1,4,889.599975585938,585.799987792969
1,5,971.200012207031,749.400024414062
1,6,1141.19995117188,601.099975585938
1,7,974.900024414062,786.400024414062
1,8,1050.09997558594,628.099975585938
1,9,NaN,NaN
1,10,NaN,NaN
1,11,1139.19995117188,594.200012207031
1,12,1116.90002441406,525
1,13,966.400024414062,580.400024414062
1,14,NaN,NaN
1,15,1210.69995117188,587.599975585938
1,16,NaN,NaN
1,17,NaN,NaN
1,18,1163.80004882812,516.700012207031
1,19,NaN,NaN
1,20,1024.69995117188,285.299987792969
1,21,NaN,NaN
1,22,1152.80004882812,476.899993896484
1,23,1061.80004882812,554.900024414062
1,24,NaN,NaN
1,25,1119.30004882812,540.5
1,26,NaN,NaN
1,27,1070.80004882812,593.5
1,28,927.799987792969,576.5
1,29,1215.30004882812,584.799987792969
1,30,NaN,NaN
1,31,NaN,NaN
1,32,1043.59997558594,462.100006103516
1,33,NaN,NaN
1,34,1154.80004882812,547.900024414062
1,35,NaN,NaN
1,36,1164.69995117188,555.200012207031
1,37,1063.80004882812,700.900024414062
1,38,934.599975585938,639
1,39,1063.40002441406,714.900024414062
1,40,1068.5,724.299987792969
1,41,1025.09997558594,600.700012207031
1,42,1046.90002441406,545
1,43,1084,613.900024414062
1,44,1128.69995117188,626.099975585938
1,45,934.200012207031,667.5
1,46,1108.19995117188,592.700012207031
1,47,1056.09997558594,688.400024414062
1,48,NaN,NaN
1,49,904.200012207031,276.299987792969
1,50,987.5,747.599975585938
1,51,891.200012207031,460.899993896484
1,52,972.900024414062,808.099975585938
1,53,1019.09997558594,626.700012207031
1,54,1126.80004882812,629.599975585938
1,55,NaN,NaN
1,56,NaN,NaN
1,57,NaN,NaN
1,58,NaN,NaN
1,59,NaN,NaN
1,60,NaN,NaN
1,61,851.599975585938,586.099975585938
1,62,1048.90002441406,596.099975585938
1,63,1107.09997558594,704.5
1,64,999.400024414062,547.200012207031
1,65,NaN,NaN
1,66,963.400024414062,758.900024414062
1,67,1082,656.099975585938
1,68,946.599975585938,608.700012207031
1,69,924.5,798.700012207031
1,70,NaN,NaN
1,71,1129.80004882812,590.799987792969
1,72,987.099975585938,670.799987792969
1,73,1086.80004882812,569.200012207031
1,74,1032.69995117188,717
1,75,936,725.099975585938
1,76,NaN,NaN
1,77,1193.40002441406,494.100006103516
1,78,NaN,NaN
1,79,NaN,NaN
1,80,1103.30004882812,639.400024414062
1,81,994.5,460.799987792969
1,82,822,390.799987792969
1,83,NaN,NaN
1,84,1012.79998779297,659.799987792969
1,85,NaN,NaN
1,86,1191.80004882812,605.5
1,87,1158.5,652.700012207031
1,88,1037.40002441406,713
1,89,996.900024414062,726.700012207031
1,90,NaN,NaN
1,91,976.799987792969,619.799987792969
1,92,986.5,489.600006103516
1,93,1130.5,577
1,94,1070.30004882812,576.099975585938
1,95,NaN,NaN
1,96,1111,625.5
1,97,1047.30004882812,534.900024414062
1,98,NaN,NaN
1,99,937,659
1,100,NaN,NaN
2,101,1093.90002441406,479
2,102,NaN,NaN
2,103,NaN,NaN
2,104,NaN,NaN
2,105,NaN,NaN
2,106,NaN,NaN
2,107,NaN,NaN
2,108,729.599975585938,541.599975585938
2,109,664.599975585938,503.899993896484
2,110,1057.30004882812,788.299987792969
2,111,NaN,NaN
2,112,NaN,NaN
2,113,NaN,NaN
2,114,NaN,NaN
2,115,NaN,NaN
2,116,1084.5,749.599975585938
2,117,NaN,NaN
2,118,NaN,NaN
2,119,NaN,NaN
2,120,669,524.900024414062
2,121,1061.59997558594,717.700012207031
2,122,NaN,NaN
2,123,NaN,NaN
2,124,NaN,NaN
2,125,NaN,NaN
2,126,667.5,531.799987792969
2,127,NaN,NaN
2,128,1190.69995117188,605.099975585938
2,129,NaN,NaN
2,130,552.200012207031,492.700012207031
2,131,NaN,NaN
2,132,1006.20001220703,536
2,133,NaN,NaN
2,134,NaN,NaN
2,135,718.299987792969,536.599975585938
2,136,659.299987792969,524.799987792969
2,137,NaN,NaN
2,138,716.799987792969,521.299987792969
2,139,NaN,NaN
2,140,NaN,NaN
2,141,NaN,NaN
2,142,602.700012207031,508.600006103516
2,143,NaN,NaN
2,144,NaN,NaN
2,145,684.400024414062,504
2,146,NaN,NaN
2,147,NaN,NaN
2,148,958.900024414062,548.799987792969
2,149,1085.09997558594,573.299987792969
2,150,NaN,NaN
2,151,NaN,NaN
2,152,1119.80004882812,486.600006103516
2,153,970.099975585938,549.299987792969
2,154,726.200012207031,497.200012207031
2,155,NaN,NaN
2,156,NaN,NaN
2,157,NaN,NaN
2,158,972,485.5
2,159,NaN,NaN
2,160,784,469.899993896484
2,161,1086.09997558594,465.299987792969
2,162,NaN,NaN
2,163,NaN,NaN
2,164,NaN,NaN
2,165,823.799987792969,491.899993896484
2,166,863.5,528.200012207031
2,167,NaN,NaN
2,168,823.5,349.100006103516
2,169,NaN,NaN
2,170,692.400024414062,568.200012207031
2,171,NaN,NaN
2,172,NaN,NaN
2,173,NaN,NaN
2,174,841.200012207031,524.200012207031
2,175,NaN,NaN
2,176,1259.19995117188,617.200012207031
2,177,885.400024414062,540
2,178,703.900024414062,510.5
2,179,NaN,NaN
2,180,NaN,NaN
2,181,NaN,NaN
2,182,NaN,NaN
2,183,NaN,NaN
2,184,1153.69995117188,546.099975585938
2,185,793.700012207031,487.299987792969
2,186,NaN,NaN
2,187,734,518.5
2,188,693.099975585938,528.599975585938
2,189,NaN,NaN
2,190,742.299987792969,528.900024414062
2,191,NaN,NaN
2,192,1042.69995117188,541.400024414062
2,193,NaN,NaN
2,194,NaN,NaN
2,195,NaN,NaN
2,196,NaN,NaN
2,197,849,524.299987792969
2,198,1053.69995117188,499.700012207031
2,199,NaN,NaN
2,200,776.299987792969,614.099975585938
