"","age","handedness","gender","list","radians","center","pos_1","pos_2","type","degrees","map_file","PE","object","isFiller","outdoors_response","stimulus","ind_out_resp.keys","ind_out_resp.rt","participant","trial_n_block","block","trial_n","x","y","fixations","center_low","fixation_error","fixation_prediction"
"5",24,"r","m","lists/121/stimuli_position_map_1.csv",2.99883973453583,175.974789915966,265.974789915966,85.9747899159664,"low",171.908010260016,"maps/google_map_1.png","4.06677965595059","objects/2/2_53.jpg",1,"outdoors","TreeStump.jpg","a",6.62587770000027,121,1,1,1,607.700012207031,534,179.024293337622,175.974789915966,7.11628307760625,3.04950342165625
"6",24,"r","m","lists/121/stimuli_position_map_1.csv",2.90384865247214,175.974789915966,265.974789915966,85.9747899159664,"low",166.462661606683,"maps/google_map_1.png","9.51212830928343","objects/2/2_53.jpg",1,"outdoors","TreeStump.jpg","a",0.675384100000883,121,2,1,2,635.5,473.200012207031,168.367862663318,175.974789915966,1.90520105663452,7.60692725264846
"7",24,"r","m","lists/121/stimuli_position_map_1.csv",3.04412742869568,175.974789915966,265.974789915966,85.9747899159664,"low",174.504120116313,"maps/google_map_1.png","1.47066979965336","objects/1/1_104.jpg",0,"indoors","Desk_Office.jpg","l",9.88293370000065,121,3,1,3,649,531,178.34238540489,175.974789915966,3.83826528857725,2.36759548892425
"8",24,"r","m","lists/121/stimuli_position_map_1.csv",3.46034923360254,175.974789915966,265.974789915966,85.9747899159664,"low",198.363968805241,"maps/google_map_1.png","22.3891788892748","objects/1/1_71.jpg",1,"outdoors","PoliceTape.jpg","a",0.570577899999989,121,4,1,4,664.700012207031,652,200.770500745018,175.974789915966,2.4065319397769,24.7957108290519
"9",24,"r","m","lists/121/stimuli_position_map_1.csv",2.98627534545496,175.974789915966,265.974789915966,85.9747899159664,"low",171.187758656654,"maps/google_map_1.png","4.78703125931258","objects/2/2_74.jpg",1,"indoors","Box_FirstAid.jpg","l",0.69451780000054,121,5,1,5,622.900024414062,509.899993896484,174.897532239457,175.974789915966,3.70977358280311,1.07725767650888
"10",24,"r","m","lists/121/stimuli_position_map_1.csv",3.51272276128792,175.974789915966,265.974789915966,85.9747899159664,"low",201.366272940072,"maps/google_map_1.png","25.3914830241054","objects/1/1_138.jpg",0,"indoors","Napkin_Single.jpg","l",0.693634500000371,121,6,1,6,654,680.5,204.662236772763,175.974789915966,3.29596383269094,28.687446856797
"11",24,"r","m","lists/121/stimuli_position_map_1.csv",3.00343271311495,175.974789915966,265.974789915966,85.9747899159664,"low",172.171302025698,"maps/google_map_1.png","3.80348789026844","objects/1/1_97.jpg",0,"indoors","AirVent.jpg","l",1.87739020000026,121,7,1,7,NA,NA,NA,175.974789915966,NA,NA
"12",24,"r","m","lists/121/stimuli_position_map_1.csv",3.1757338095773,175.974789915966,265.974789915966,85.9747899159664,"low",182.048434943922,"maps/google_map_1.png","6.07364502795546","objects/1/1_136.jpg",0,"outdoors","Bus_School.jpg","a",0.892276000001402,121,8,1,8,NA,NA,NA,175.974789915966,NA,NA
"13",24,"r","m","lists/121/stimuli_position_map_1.csv",3.32792795014266,175.974789915966,265.974789915966,85.9747899159664,"low",190.772939817095,"maps/google_map_1.png","14.7981499011288","objects/2/2_53.jpg",1,"outdoors","TreeStump.jpg","a",0.698949000000539,121,9,1,9,621.900024414062,580.5,186.830745396246,175.974789915966,3.94219442084867,10.8559554802803
"14",24,"r","m","lists/121/stimuli_position_map_1.csv",3.35820243003513,175.974789915966,265.974789915966,85.9747899159664,"low",192.508419556154,"maps/google_map_1.png","16.5336296401878","objects/1/1_63.jpg",0,"indoors","Ashtray_Empty.jpg","l",0.473893100001078,121,10,1,10,644.200012207031,601.599975585938,191.037526018577,175.974789915966,1.47089353757693,15.0627361026111
"15",24,"r","m","lists/121/stimuli_position_map_1.csv",3.59687533443695,175.974789915966,265.974789915966,85.9747899159664,"low",206.190305795749,"maps/google_map_1.png","30.2155158797823","objects/2/2_74.jpg",1,"indoors","Box_FirstAid.jpg","l",0.170716700000412,121,11,1,11,693.400024414062,718.400024414062,213.789149699006,175.974789915966,7.59884390325738,37.8143597830404
"16",24,"r","m","lists/121/stimuli_position_map_1.csv",2.74358856144622,175.974789915966,265.974789915966,85.9747899159664,"low",157.275777407745,"maps/google_map_1.png","18.6990125082212","objects/1/1_101.jpg",0,"indoors","Accordion.jpg","l",0.678808600000593,121,12,1,12,646.799987792969,424.600006103516,159.773446783833,175.974789915966,2.49766937608842,16.2013431321326
"17",24,"r","m","lists/121/stimuli_position_map_1.csv",5.06959010270775,175.974789915966,175.974789915966,347.932773109244,"singletons",290.613445378151,"maps/google_map_1.png","None","objects/1/1_106.jpg",0,"indoors","Cheque.jpg","l",1.82163370000126,121,13,1,13,1035.5,834.799987792969,284.365027878458,175.974789915966,6.24841749969323,108.390237962492
"18",24,"r","m","lists/121/stimuli_position_map_1.csv",3.7282212076997,175.974789915966,265.974789915966,85.9747899159664,"low",213.719687065588,"maps/google_map_1.png","37.7448971496215","objects/2/2_74.jpg",1,"indoors","Box_FirstAid.jpg","l",0.43234350000057,121,14,1,14,700.5,735.5,216.993341732029,175.974789915966,3.27365466644122,41.0185518160632
"19",24,"r","m","lists/121/stimuli_position_map_1.csv",3.95887543999957,175.974789915966,265.974789915966,85.9747899159664,"low",226.941904203797,"maps/google_map_1.png","50.9671142878304","objects/1/1_127.jpg",1,"outdoors","FireHydrant.jpg","a",0.625644300000204,121,15,1,15,759.200012207031,803,232.638336571393,175.974789915966,5.69643236759603,56.663546655427
"20",24,"r","m","lists/121/stimuli_position_map_1.csv",3.01315639221833,175.974789915966,265.974789915966,85.9747899159664,"low",172.728710381943,"maps/google_map_1.png","3.24607953402362","objects/1/1_81.jpg",0,"outdoors","BicycleSeat.jpg","a",0.755101600000671,121,16,1,16,628.5,536.700012207031,179.429655723094,175.974789915966,6.70094534115151,3.4548658071285
"21",24,"r","m","lists/121/stimuli_position_map_1.csv",3.55596780218925,175.974789915966,265.974789915966,85.9747899159664,"low",203.845288023587,"maps/google_map_1.png","27.870498107621","objects/1/1_127.jpg",1,"outdoors","FireHydrant.jpg","a",0.471907900000588,121,17,1,17,696.900024414062,714.5,213.554167036751,175.974789915966,9.70887901316397,37.579377120785
"22",24,"r","m","lists/121/stimuli_position_map_1.csv",3.12396199351781,175.974789915966,265.974789915966,85.9747899159664,"low",179.080623832231,"maps/google_map_1.png","3.1058339162648","objects/1/1_1.jpg",0,"indoors","Bottle_Oil.jpg","l",0.311757700001181,121,18,1,18,618,548.799987792969,181.473950087887,175.974789915966,2.39332625565638,5.49916017192137
"23",24,"r","m","lists/121/stimuli_position_map_1.csv",2.82519319462195,175.974789915966,265.974789915966,85.9747899159664,"low",161.953750010175,"maps/google_map_1.png","14.021039905791","objects/1/1_24.jpg",0,"outdoors","Igloo.jpg","a",0.613570900000923,121,19,1,19,660.299987792969,421.600006103516,158.442922521776,175.974789915966,3.51082748839897,17.53186739419
