"","participant","fix_diff_second_truck_1500_2500","fix_diff_second_truck_2000_2500"
"1",121,101.574855977858,111.179290766666
"2",122,108.355364544524,109.697676337821
"3",123,46.1027671767734,62.482894517455
"4",124,74.4447040930245,81.0353568979337
"5",125,66.1624023584197,70.4526422703187
"6",126,71.2261432951722,73.7395978281755
"7",127,83.7860907965753,87.6206294495021
"8",128,43.5237724794298,60.6057824791477
"9",129,58.7113307762615,67.1603010837826
"10",130,40.3998173377629,45.3150885036458
"11",131,36.1472836902209,48.4588958681871
"12",132,59.8836467187147,62.1911051891897
"13",133,65.0884238129508,67.5165726336013
"14",134,50.7875596715461,59.6316807414372
"15",135,85.9435802422055,92.8234582289959
"16",136,71.0737061986886,91.9350869865511
"17",137,91.0340129952217,101.455853262397
"18",138,100.118996528439,102.114749987552
"19",139,46.1887515976953,54.4375981285792
"20",140,69.3300770826017,73.1917931546498
