"","participant","count_NA_2000_2500","fixation_prediction_2000_2500","count_NA_1500_2500","fixation_prediction_1500_2500","fixation_prediction_1500_2500_PEmedium","fixation_prediction_1500_2500_PEhigh","fixation_prediction_2000_2500_PElow","fixation_prediction_2000_2500_PEmedium","fixation_prediction_2000_2500_PEhigh","fixation_prediction_1500_2500_PElow"
"1",121,53,69.1504922379013,24,71.8570544759485,71.8093713574556,77.7650085570988,69.1273329732454,68.6037122131766,69.8305789958031,70.3780707522823
"2",122,21,27.4192318845125,2,28.188390423804,24.0705030181311,19.7516961036518,30.2275167548105,24.2832157414176,20.3068122043182,31.6060011060892
"3",123,67,40.5002257353457,3,55.7902514153484,74.2406012767785,50.2663592611565,38.500424519068,63.1755798439306,35.3838919811209,52.1484215693174
"4",124,79,45.1784038492905,5,47.4081902536883,49.9550147290222,61.8858226468094,39.5908497865589,49.8262203211211,59.3095643248999,42.613974389742
"5",125,57,36.2835270221267,7,41.0737725547828,47.0148006458047,40.3776958747614,33.2600685411197,53.6904128721327,33.0137622248837,39.7012619051752
"6",126,59,37.5794293345572,2,36.7218740492755,50.254560556006,38.1283310966592,33.877351322909,49.5438492437432,38.3137468172849,32.5721119509104
"7",127,28,27.2670652830544,0,31.011752990381,30.7450435455213,30.5783159870473,24.5091118974773,32.4372588993986,31.1340247082627,31.2027020217064
"8",128,70,66.038326482537,0,71.7840282077548,77.775796907974,66.0934980502914,67.0274744384825,72.0527865833244,57.06061053313,71.7018722415486
"9",129,51,57.7805308883012,6,60.7808529975035,60.7609643561506,68.7229264155841,56.7988668751614,50.8792289360456,68.2974891553116,58.6885756723557
"10",130,52,57.0849542289785,1,58.9518623410926,65.0081251396568,66.8857392124135,50.7212909900059,64.1039392716913,69.6461116789435,55.2084958572269
"11",131,55,65.6292284466925,8,71.828116673423,66.0945230443971,64.7671414707172,69.6127464281238,59.1279338518928,58.7823325620514,75.1827691653204
"12",132,32,53.9349538276773,0,52.3176439775777,53.7435047241001,62.3829543726248,51.7730716009898,51.2423130985025,64.8231126573449,49.1836882116952
"13",133,28,44.6920730242902,4,44.8110844277219,48.8866788670221,41.4263915906074,45.096461186299,47.0539973150467,41.0056334084554,44.5857410547997
"14",134,60,56.564392206617,23,60.1328468171682,61.5397991980061,73.351317193422,52.8487233961317,58.6698429747523,69.7344687704766,56.1982039866384
"15",135,92,37.4750405997111,12,39.3495021517766,35.4206548886814,35.8694998307929,40.5345539650639,48.8128195311213,20.6533051832872,41.3297719190895
"16",136,57,69.1838916815658,10,73.9062407602085,81.9867648104889,79.4674776214981,65.5677944367212,75.5241625689545,74.595360615688,70.1193492109441
"17",137,57,73.490469120846,24,72.9662690947475,71.9329408086952,76.7354729251469,71.6444932383994,71.4233140466302,81.7987807500005,72.1111476619886
"18",138,35,48.7625826189805,7,49.3202372082208,67.2808687515608,49.3045593277183,45.3359480685362,65.8488183838115,44.0978970995101,44.3640119108656
"19",139,56,69.672312852745,10,69.2205531284123,65.9820159756591,80.66700534983,67.829558106903,69.1317556881476,77.5838890007108,66.8695280197894
"20",140,92,66.5155783443886,64,65.9883409159211,44.5785582405467,66.6893552032796,68.5623407494852,45.6660016663607,75.1489309149732,71.7009150269307
