block,trial_n,x,y
1,1,NaN,NaN
1,2,NaN,NaN
1,3,NaN,NaN
1,4,NaN,NaN
1,5,NaN,NaN
1,6,NaN,NaN
1,7,NaN,NaN
1,8,NaN,NaN
1,9,NaN,NaN
1,10,NaN,NaN
1,11,NaN,NaN
1,12,NaN,NaN
1,13,NaN,NaN
1,14,NaN,NaN
1,15,NaN,NaN
1,16,NaN,NaN
1,17,NaN,NaN
1,18,NaN,NaN
1,19,NaN,NaN
1,20,NaN,NaN
1,21,NaN,NaN
1,22,NaN,NaN
1,23,NaN,NaN
1,24,NaN,NaN
1,25,NaN,NaN
1,26,NaN,NaN
1,27,NaN,NaN
1,28,NaN,NaN
1,29,NaN,NaN
1,30,NaN,NaN
1,31,NaN,NaN
1,32,NaN,NaN
1,33,NaN,NaN
1,34,NaN,NaN
1,35,NaN,NaN
1,36,NaN,NaN
1,37,NaN,NaN
1,38,NaN,NaN
1,39,NaN,NaN
1,40,NaN,NaN
1,41,929.099975585938,556
1,42,NaN,NaN
1,43,629,374.399993896484
1,44,756.599975585938,358.5
1,45,NaN,NaN
1,46,709.200012207031,365.200012207031
1,47,815.599975585938,343.200012207031
1,48,741.200012207031,298.799987792969
1,49,748.599975585938,313.600006103516
1,50,787.599975585938,291.200012207031
1,51,NaN,NaN
1,52,710,358.600006103516
1,53,728.799987792969,301.799987792969
1,54,806.700012207031,299.700012207031
1,55,687.599975585938,409.299987792969
1,56,735.599975585938,357.399993896484
1,57,727.400024414062,379.200012207031
1,58,767.200012207031,351.799987792969
1,59,731.400024414062,379.600006103516
1,60,735.799987792969,324
1,61,717.799987792969,360.5
1,62,834,354.5
1,63,968.5,383.200012207031
1,64,712.5,499.5
1,65,916.700012207031,378.600006103516
1,66,836.299987792969,447.700012207031
1,67,NaN,NaN
1,68,861.799987792969,371.899993896484
1,69,799.599975585938,370.899993896484
1,70,784.799987792969,330.799987792969
1,71,740.5,343.5
1,72,721.5,322.200012207031
1,73,1003.09997558594,525.099975585938
1,74,820.299987792969,501.299987792969
1,75,778.400024414062,439.600006103516
1,76,868.400024414062,352.899993896484
1,77,NaN,NaN
1,78,843.5,569.599975585938
1,79,733.700012207031,372.299987792969
1,80,NaN,NaN
1,81,768.599975585938,418.799987792969
1,82,797.099975585938,339.799987792969
1,83,768.599975585938,495.200012207031
1,84,758.299987792969,382.100006103516
1,85,980.5,530.5
1,86,884.299987792969,706.299987792969
1,87,837.200012207031,658.200012207031
1,88,865,545.799987792969
1,89,947.200012207031,726.200012207031
1,90,1020.59997558594,628.299987792969
1,91,879.400024414062,780.5
1,92,795.799987792969,590.099975585938
1,93,792.400024414062,625.799987792969
1,94,704.400024414062,700.799987792969
1,95,755,749.099975585938
1,96,882.099975585938,671
1,97,869.799987792969,736.700012207031
1,98,NaN,NaN
1,99,NaN,NaN
1,100,NaN,NaN
1,101,NaN,NaN
1,102,1128.80004882812,392.600006103516
1,103,952.5,504.299987792969
1,104,1160.69995117188,447.100006103516
1,105,1110.5,452.700012207031
1,106,826.299987792969,751.900024414062
1,107,812.400024414062,796.200012207031
1,108,NaN,NaN
2,109,912.400024414062,583.799987792969
2,110,1055.5,716.400024414062
2,111,979.400024414062,724.700012207031
2,112,916.400024414062,743.599975585938
2,113,960.200012207031,694
2,114,936.200012207031,691.200012207031
2,115,908.799987792969,770.799987792969
2,116,1147.59997558594,462.700012207031
2,117,983.299987792969,495.600006103516
2,118,829.099975585938,809.299987792969
2,119,798.700012207031,289.700012207031
2,120,862.200012207031,856.299987792969
2,121,1008.5,679.599975585938
2,122,906.200012207031,675.900024414062
2,123,936.5,677.799987792969
2,124,865,707.700012207031
2,125,NaN,NaN
2,126,968.099975585938,429.700012207031
2,127,989.5,614
2,128,1000.59997558594,655.099975585938
2,129,1222.5,784.099975585938
2,130,NaN,NaN
2,131,1033.90002441406,391.299987792969
2,132,NaN,NaN
2,133,1113,492.600006103516
2,134,NaN,NaN
2,135,1117.19995117188,388.299987792969
2,136,1010.20001220703,501.899993896484
2,137,1095.19995117188,559.200012207031
2,138,1086,710.400024414062
2,139,NaN,NaN
2,140,1143.69995117188,777.200012207031
2,141,877.5,832.200012207031
2,142,1076.40002441406,689.900024414062
2,143,NaN,NaN
2,144,1157.69995117188,623.900024414062
2,145,NaN,NaN
2,146,1097.90002441406,666.5
2,147,NaN,NaN
2,148,1073.40002441406,665
2,149,NaN,NaN
2,150,963.700012207031,672.5
2,151,NaN,NaN
2,152,NaN,NaN
2,153,NaN,NaN
2,154,1124.09997558594,578.099975585938
2,155,NaN,NaN
2,156,932,542.700012207031
2,157,1035.19995117188,631
2,158,NaN,NaN
2,159,1029.69995117188,721.5
2,160,NaN,NaN
2,161,983.900024414062,821.700012207031
2,162,960,331
2,163,NaN,NaN
2,164,985.900024414062,662.700012207031
2,165,1070.90002441406,573
2,166,974.099975585938,679.299987792969
2,167,NaN,NaN
2,168,NaN,NaN
2,169,NaN,NaN
2,170,NaN,NaN
2,171,1031.59997558594,672.700012207031
2,172,NaN,NaN
2,173,1115.40002441406,694.799987792969
2,174,1160.19995117188,245
2,175,948,274.399993896484
2,176,925.599975585938,381
2,177,NaN,NaN
2,178,NaN,NaN
2,179,1053.19995117188,321.600006103516
