list,radians,center,pos_1,pos_2,type,degrees,map_file,PE,object,isFiller,outdoors_response,stimulus,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cal2.thisRepN,cal2.thisTrialN,cal2.thisN,cal2.thisIndex,Instr_1.started,key_resp_instr_1.started,key_resp_instr_1.keys,key_resp_instr_1.rt,Instr_3.started,key_instr_3.started,key_instr_3.keys,key_instr_3.rt,Instr_4.started,key_instr_4.started,key_instr_4.keys,key_instr_4.rt,final_instructions.started,final_instr_key.started,final_instr_key.keys,final_instr_key.rt,text_4.started,image.started,truck_1.started,truck_1.stopped,truck_2.started,truck_2.stopped,truck_3.started,truck_3.stopped,image_3.started,image_feedb.started,text_5.started,text_7.started,ind_out_resp.started,ind_out_resp.keys,ind_out_resp.rt,highlight_resp_2.started,text_8.started,text_10.started,highlight_resp_2.stopped,text_8.stopped,text_10.stopped,text_4.stopped,half_task_msg.started,half_task_space.started,half_task_space.keys,half_task_space.rt,Break_text.started,break_resp.started,break_resp.keys,break_resp.rt,text.started,text.stopped,participant,handedness,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,116.68147150000004,116.68147150000004,space,0.5619234000041615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,2022-12-23_09h51.49.920,PEmem_Phase-01_encoding,2022.2.4,119.80854594327602,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.25797099999909,117.25797099999909,space,0.4352834000092116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,2022-12-23_09h51.49.920,PEmem_Phase-01_encoding,2022.2.4,119.80854594327602,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.70797039999889,117.70797039999889,space,0.5507044000041788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,2022-12-23_09h51.49.920,PEmem_Phase-01_encoding,2022.2.4,119.80854594327602,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.27464619999955,118.27464619999955,space,0.6511882000049809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,2022-12-23_09h51.49.920,PEmem_Phase-01_encoding,2022.2.4,119.80854594327602,
lists/194/stimuli_position_map_1.csv,2.03817724431753,106.588235294118,196.588235294118,16.5882352941177,low,116.838185979986,maps/google_map_1.png,10.2499506858682,objects/2/2_112.jpg,1,outdoors,Toy_GasPump.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,119.08138199999667,119.79268249999586,120.05802820000099,120.55796279999777,121.05803379999998,121.55794890000107,122.05810100000235,122.55812419999711,122.80423090000113,122.80423090000113,124.07484249999834,124.07484249999834,124.07484249999834,a,1.2990934000044945,125.38327159999608,125.38327159999608,125.38327159999608,125.88333710000006,125.88333710000006,125.88333710000006,,,,,,,,,,,,194,,,,2022-12-23_09h51.49.920,PEmem_Phase-01_encoding,2022.2.4,119.80854594327602,
lists/194/stimuli_position_map_1.csv,1.41159315104529,106.588235294118,196.588235294118,16.5882352941177,low,80.9193526076916,maps/google_map_1.png,25.668882686426,objects/2/2_112.jpg,1,outdoors,Toy_GasPump.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,125.88333710000006,126.4977429999999,126.8831424999953,127.38332110000192,127.88332439999795,128.38336079999863,128.88336739999795,129.38336549999804,129.50905999999668,129.50905999999668,130.90018399999826,130.90018399999826,130.90018399999826,a,0.2933984999981476,131.20816439999908,131.20816439999908,131.20816439999908,131.70816049999848,131.70816049999848,131.70816049999848,126.4977429999999,,,,,,,,,,,194,,,,2022-12-23_09h51.49.920,PEmem_Phase-01_encoding,2022.2.4,119.80854594327602,
lists/194/stimuli_position_map_1.csv,2.25313872787582,106.588235294118,196.588235294118,16.5882352941177,low,129.160818795429,maps/google_map_1.png,22.5725835013113,objects/1/1_87.jpg,0,indoors,Clock_Digital.jpg,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,131.70816049999848,132.3236579000004,132.7082569999984,133.20817610000086,133.70829940000112,134.20842479999556,134.7001958999972,135.20005559999845,135.33653539999796,135.33653539999796,136.72519489999831,136.72519489999831,136.72519489999831,l,0.25316380000003846,136.99183900000207,136.99183900000207,136.99183900000207,137.4929048999984,137.4929048999984,137.4929048999984,132.3236579000004,,,,,,,,,,,194,,,,2022-12-23_09h51.49.920,PEmem_Phase-01_encoding,2022.2.4,119.80854594327602,
lists/194/stimuli_position_map_1.csv,2.30940094849127,106.588235294118,196.588235294118,16.5882352941177,low,132.386041633258,maps/google_map_1.png,25.79780633914,objects/1/1_55.jpg,0,outdoors,Chipmunk.jpg,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,137.4929048999984,138.11681610000232,138.49178779999784,138.99175059999834,139.49169099999563,139.99179239999648,140.491697999998,140.99172949999775,141.12155519999942,141.12155519999942,142.50834190000023,142.50834190000023,142.50834190000023,a,0.19392990000051213,142.71681099999842,142.71681099999842,142.71681099999842,143.21664469999814,143.21664469999814,143.21664469999814,,,,,,,,,,,,194,,,,2022-12-23_09h51.49.920,PEmem_Phase-01_encoding,2022.2.4,119.80854594327602,
lists/194/stimuli_position_map_1.csv,1.74190397752487,106.588235294118,196.588235294118,16.5882352941177,low,99.8543681383682,maps/google_map_1.png,6.73386715574942,objects/1/1_109.jpg,0,outdoors,Camel_Dromedary.jpg,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,143.21664469999814,143.82811619999848,144.21674199999688,144.7170116999987,145.20846270000038,145.70840360000147,146.20979069999885,146.71678460000112,146.84267349999573,146.84267349999573,148.23370520000026,148.23370520000026,148.23370520000026,a,0.21158020000439137,148.45845030000055,148.45845030000055,148.45845030000055,148.95836879999842,148.95836879999842,148.95836879999842,143.82811619999848,,,,,,,,,,,194,,,,2022-12-23_09h51.49.920,PEmem_Phase-01_encoding,2022.2.4,119.80854594327602,
lists/194/stimuli_position_map_1.csv,2.06707646222506,106.588235294118,196.588235294118,16.5882352941177,low,118.494829044749,maps/google_map_1.png,11.9065937506309,objects/1/1_69.jpg,0,indoors,Oven.jpg,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,148.95836879999842,149.57092340000236,149.9584302000003,150.45840339999995,150.95846899999742,151.45847199999844,151.9585120999982,152.4585281999971,152.58274340000207,152.58274340000207,153.9753555999996,153.9753555999996,153.9753555999996,a,0.1943135000037728,154.18370779999532,154.18370779999532,154.18370779999532,154.68363220000174,154.68363220000174,154.68363220000174,149.57092340000236,,,,,,,,,,,194,,,,2022-12-23_09h51.49.920,PEmem_Phase-01_encoding,2022.2.4,119.80854594327602,
