radians,center,pos_1,pos_2,type,degrees,map_file,PE,object,isFiller,outdoors_response,stimulus,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,location_loop.thisRepN,location_loop.thisTrialN,location_loop.thisN,location_loop.thisIndex,instructions_text.started,key_resp.started,key_resp.keys,key_resp.rt,conf_resp_2.started,conf_prompt_2.started,conf.started,conf_7.started,conf_8.started,conf_9.started,conf_10.started,conf_11.started,conf_resp_2.keys,conf_resp_2.rt,Instr_4_text.started,Instr_4_resp.started,Instr_4_resp.keys,Instr_4_resp.rt,final_instr_resp.started,instruction_final_text.started,final_instr_resp.keys,final_instr_resp.rt,text_4.started,image_feedb_2.started,conf_resp.started,conf_prompt.started,conf_1.started,conf_2.started,conf_3.started,conf_4.started,conf_5.started,conf_6.started,conf_resp.keys,conf_resp.rt,text_4.stopped,image_2.started,predict_prompt.started,line.started,response,key_resp_2.keys,key_resp_2.rt,instructions_text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,participant,date,expName,psychopyVersion,frameRate,
3.83851059992317,106.588235294118,196.588235294118,16.5882352941177,medium,220.042008912793,maps/google_map_1.png,113.453773618676,objects/1/1_16.jpg,0.0,indoors,Qtip_Single.jpg,old,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,42.52114829999482,41.14740449999954,41.14740449999954,41.14740449999954,41.14740449999954,41.14740449999954,41.14740449999954,41.14740449999954,41.14740449999954,41.14740449999954,5,1.3648206000070786,42.87562549999711,42.87562549999711,42.87562549999711,42.87562549999711,191,['return'],[0.9890469000019948],,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
3.83851059992317,106.588235294118,196.588235294118,16.5882352941177,medium,220.042008912793,maps/google_map_1.png,113.453773618676,objects/1/1_16.jpg,0.0,indoors,Qtip_Single.jpg,old,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
None,None,None,None,None,None,maps/google_map_1.png,None,objects/2/2_79.jpg,None,indoors,Key_Car.jpg,new,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0376854999995,44.125491099999635,44.125491099999635,44.125491099999635,44.125491099999635,44.125491099999635,44.125491099999635,44.125491099999635,44.125491099999635,44.125491099999635,1,1.8959577999994508,46.279370199998084,,,,,,,,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
None,None,None,None,None,None,maps/google_map_1.png,None,objects/2/2_16.jpg,None,outdoors,Sign_SpeedLimit25.jpg,new,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,47.42945019999752,46.538764599994465,46.538764599994465,46.538764599994465,46.538764599994465,46.538764599994465,46.538764599994465,46.538764599994465,46.538764599994465,46.538764599994465,1,0.8814211999997497,47.6709950000004,,,,,,,,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
None,None,None,None,None,None,maps/google_map_1.png,None,objects/2/2_39.jpg,None,outdoors,Flags_CheckeredRacing.jpg,new,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,48.612774699999136,47.930635199998505,47.930635199998505,47.930635199998505,47.930635199998505,47.930635199998505,47.930635199998505,47.930635199998505,47.930635199998505,47.930635199998505,1,0.6668969000020297,48.8543725999989,,,,,,,,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
None,None,None,None,None,None,maps/google_map_1.png,None,objects/2/2_21.jpg,None,outdoors,Dog_SaintBernard.jpg,new,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,49.81355210000038,49.109387999997125,49.109387999997125,49.109387999997125,49.109387999997125,49.109387999997125,49.109387999997125,49.109387999997125,49.109387999997125,49.109387999997125,1,0.6924507000003359,50.05429159999767,,,,,,,,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
None,None,None,None,None,None,maps/google_map_1.png,None,objects/2/2_128.jpg,None,indoors,SewingPin_Single.jpg,new,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,51.221067099999345,50.31180389999645,50.31180389999645,50.31180389999645,50.31180389999645,50.31180389999645,50.31180389999645,50.31180389999645,50.31180389999645,50.31180389999645,1,0.8970687000037287,51.462722099997336,,,,,,,,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
5.8202360323559,196.588235294118,286.588235294118,106.588235294118,high,333.644103765625,maps/google_map_1.png,137.055868471507,objects/1/1_83.jpg,0.0,outdoors,Swing_Child.jpg,old,0,13,13,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,52.81270389999554,51.71741779999866,51.71741779999866,51.71741779999866,51.71741779999866,51.71741779999866,51.71741779999866,51.71741779999866,51.71741779999866,51.71741779999866,5,1.085259200001019,53.16677720000007,53.16677720000007,53.16677720000007,53.16677720000007,2.0,['return'],[1.8146657000033883],,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
5.8202360323559,196.588235294118,286.588235294118,106.588235294118,high,333.644103765625,maps/google_map_1.png,137.055868471507,objects/1/1_83.jpg,0.0,outdoors,Swing_Child.jpg,old,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
3.36164901430429,196.588235294118,286.588235294118,106.588235294118,low,192.705994450564,maps/google_map_1.png,3.88224084355317,objects/1/1_8.jpg,0.0,outdoors,Snake_Cobra.jpg,old,0,14,14,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,56.6462040999977,55.24787379999907,55.24787379999907,55.24787379999907,55.24787379999907,55.24787379999907,55.24787379999907,55.24787379999907,55.24787379999907,55.24787379999907,4,1.384802500004298,56.99715849999484,56.99715849999484,56.99715849999484,56.99715849999484,128.5,['return'],[3.851031199999852],,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
