"age","handedness","gender","list","radians","center","pos_1","pos_2","type","degrees","map_file","PE","object","isFiller","outdoors_response","stimulus","ind_out_resp.keys","ind_out_resp.rt","participant"
20,"r","m","lists/118/stimuli_position_map_1.csv",0.397488907564629,37.2016806722689,127.201680672269,307.201680672269,"low",22.7859883317303,"maps/google_map_1.png","14.4156923405386","objects/1/1_15.jpg",1,"indoors","Toy_Lion.jpg","l",0.328282932285219,118
20,"r","m","lists/118/stimuli_position_map_1.csv",0.510542202613288,37.2016806722689,127.201680672269,307.201680672269,"low",29.2667504682776,"maps/google_map_1.png","7.93493020399127","objects/1/1_85.jpg",0,"outdoors","Panda.jpg","a",0.241910381242633,118
20,"r","m","lists/118/stimuli_position_map_1.csv",6.28,37.2016806722689,217.201680672269,73.4033613445378,"singletons",360,"maps/google_map_1.png","None","objects/1/1_3.jpg",0,"outdoors","Pig.jpg","a",0.26379185076803,118
20,"r","m","lists/118/stimuli_position_map_1.csv",2.28571638383075,37.2016806722689,127.201680672269,307.201680672269,"medium",131.02832773552,"maps/google_map_1.png","93.8266470632515","objects/1/1_123.jpg",0,"indoors","Chair_Rocking.jpg","l",0.244421338196844,118
20,"r","m","lists/118/stimuli_position_map_1.csv",3.25263982113554,37.2016806722689,127.201680672269,307.201680672269,"high",186.457059810318,"maps/google_map_1.png","149.255379138049","objects/1/1_108.jpg",0,"indoors","Lipstick.jpg","l",0.313428869936615,118
20,"r","m","lists/118/stimuli_position_map_1.csv",4.37842887217282,37.2016806722689,127.201680672269,307.201680672269,"high",250.992737895257,"maps/google_map_1.png","146.208942777011","objects/1/1_112.jpg",0,"outdoors","House_Stone.jpg","a",0.300036993809044,118
20,"r","m","lists/118/stimuli_position_map_1.csv",0.879609784772346,37.2016806722689,127.201680672269,307.201680672269,"low",50.4234908468224,"maps/google_map_1.png","13.2218101745535","objects/1/1_106.jpg",0,"indoors","Cheque.jpg","l",0.256899147760123,118
20,"r","m","lists/118/stimuli_position_map_1.csv",0.806842203548086,37.2016806722689,307.201680672269,142.789915966387,"singletons",46.2521008403361,"maps/google_map_1.png","None","objects/1/1_38.jpg",0,"outdoors","Statue_Man.jpg","a",0.422180976718664,118
20,"r","m","lists/118/stimuli_position_map_1.csv",0.388032176844397,37.2016806722689,127.201680672269,307.201680672269,"low",22.2438827490419,"maps/google_map_1.png","14.957797923227","objects/1/1_140.jpg",1,"outdoors","Outhouse.jpg","a",0.236458375584334,118
20,"r","m","lists/118/stimuli_position_map_1.csv",3.23496980777114,37.2016806722689,127.201680672269,307.201680672269,"high",185.4441291079,"maps/google_map_1.png","148.242448435631","objects/1/1_29.jpg",0,"indoors","DogTreat.jpg","a",0.266643417999148,118
20,"r","m","lists/118/stimuli_position_map_1.csv",3.64473379191813,37.2016806722689,127.201680672269,307.201680672269,"high",208.933784250084,"maps/google_map_1.png","171.732103577815","objects/2/2_37.jpg",0,"indoors","Spoon_WoodenLight.jpg","l",0.26317413430661,118
20,"r","m","lists/118/stimuli_position_map_1.csv",3.80347212319133,37.2016806722689,127.201680672269,307.201680672269,"high",218.033433813516,"maps/google_map_1.png","179.168246858753","objects/1/1_95.jpg",0,"indoors","Arm.jpg","l",0.363946279976517,118
20,"r","m","lists/118/stimuli_position_map_1.csv",0.764166619860474,37.2016806722689,127.201680672269,307.201680672269,"low",43.8057298009189,"maps/google_map_1.png","6.60404912864998","objects/1/1_24.jpg",0,"outdoors","Igloo.jpg","a",0.277145560830832,118
20,"r","m","lists/118/stimuli_position_map_1.csv",1.88268636263312,37.2016806722689,127.201680672269,307.201680672269,"medium",107.924695947121,"maps/google_map_1.png","70.7230152748525","objects/1/1_69.jpg",0,"indoors","Oven.jpg","l",0.225007206667215,118
20,"r","m","lists/118/stimuli_position_map_1.csv",3.43789971478852,37.2016806722689,127.201680672269,307.201680672269,"high",197.077053713992,"maps/google_map_1.png","159.875373041723","objects/1/1_137.jpg",0,"indoors","Tape_Clear.jpg","a",0.279521813150495,118
20,"r","m","lists/118/stimuli_position_map_1.csv",0.769428114386032,37.2016806722689,127.201680672269,307.201680672269,"low",44.1073441367789,"maps/google_map_1.png","6.90566346450998","objects/1/1_76.jpg",0,"outdoors","Dragonfly.jpg","a",0.243811639491469,118
20,"r","m","lists/118/stimuli_position_map_1.csv",1.8393014144349,37.2016806722689,127.201680672269,307.201680672269,"medium",105.43766070009,"maps/google_map_1.png","68.2359800278209","objects/1/1_82.jpg",0,"outdoors","Ostrich.jpg","a",0.306327375583351,118
20,"r","m","lists/118/stimuli_position_map_1.csv",0.175323996265173,37.2016806722689,37.2016806722689,191.058823529412,"singletons",10.0504201680672,"maps/google_map_1.png","None","objects/1/1_53.jpg",0,"indoors","NailPolish.jpg","l",0.365087420213968,118
20,"r","m","lists/118/stimuli_position_map_1.csv",3.38821168108481,37.2016806722689,127.201680672269,307.201680672269,"high",194.228695094034,"maps/google_map_1.png","157.027014421765","objects/1/1_4.jpg",0,"indoors","Knee.jpg","l",0.398362006992102,118
20,"r","m","lists/118/stimuli_position_map_1.csv",0.488665934802966,37.2016806722689,127.201680672269,307.201680672269,"low",28.0126968995331,"maps/google_map_1.png","9.18898377273583","objects/1/1_138.jpg",0,"indoors","Napkin_Single.jpg","l",0.590332654304802,118
20,"r","m","lists/118/stimuli_position_map_1.csv",4.59595144724556,37.2016806722689,37.2016806722689,37.2016806722689,"singletons",263.46218487395,"maps/google_map_1.png","None","objects/1/1_46.jpg",0,"outdoors","Hat_Cowboy.jpg","a",0.253498820587993,118
20,"r","m","lists/118/stimuli_position_map_1.csv",0.279540546980424,37.2016806722689,127.201680672269,307.201680672269,"low",16.0246173428269,"maps/google_map_1.png","21.177063329442","objects/1/1_101.jpg",1,"indoors","Accordion.jpg","l",0.290863935369998,118
20,"r","m","lists/118/stimuli_position_map_1.csv",3.21938006061233,37.2016806722689,127.201680672269,307.201680672269,"high",184.550449334465,"maps/google_map_1.png","147.348768662196","objects/1/1_45.jpg",0,"outdoors","Seashell_AlternateTellin.jpg","a",0.262637882027775,118
20,"r","m","lists/118/stimuli_position_map_1.csv",0.0948144614694629,37.2016806722689,127.201680672269,307.201680672269,"low",5.43522390589278,"maps/google_map_1.png","31.7664567663761","objects/1/1_43.jpg",0,"outdoors","Hangar.jpg","a",0.260816163383424,118
20,"r","m","lists/118/stimuli_position_map_1.csv",0.141779104832587,37.2016806722689,127.201680672269,307.201680672269,"low",8.1274646082375,"maps/google_map_1.png","29.0742160640314","objects/1/1_12.jpg",1,"indoors","PhoneCase.jpg","l",0.242130398750305,118
20,"r","m","lists/118/stimuli_position_map_1.csv",4.27661135465941,37.2016806722689,127.201680672269,307.201680672269,"high",245.156064916782,"maps/google_map_1.png","152.045615755487","objects/1/1_142.jpg",0,"outdoors","Cannon.jpg","a",0.288522321730852,118
20,"r","m","lists/118/stimuli_position_map_1.csv",3.07792148342459,37.2016806722689,127.201680672269,307.201680672269,"high",176.441358922429,"maps/google_map_1.png","139.23967825016","objects/1/1_96.jpg",0,"indoors","IroningBoard.jpg","l",0.0604893448762596,118
20,"r","m","lists/118/stimuli_position_map_1.csv",2.28420060838676,37.2016806722689,127.201680672269,307.201680672269,"medium",130.94143614956,"maps/google_map_1.png","93.7397554772906","objects/1/1_88.jpg",0,"outdoors","Golf_Club.jpg","a",0.241901400964707,118
20,"r","m","lists/118/stimuli_position_map_1.csv",4.1271285414124,37.2016806722689,127.201680672269,307.201680672269,"high",236.586986450392,"maps/google_map_1.png","160.614694221877","objects/1/1_86.jpg",0,"outdoors","Light_Traffic.jpg","a",0.304146124050021,118
20,"r","m","lists/118/stimuli_position_map_1.csv",5.38534920634921,37.2016806722689,307.201680672269,49.2689075630252,"singletons",308.714285714286,"maps/google_map_1.png","None","objects/1/1_114.jpg",0,"outdoors","Grenade.jpg","a",0.235813396982849,118
