block,trial_n,x,y
1,1,NaN,NaN
1,2,NaN,NaN
1,3,NaN,NaN
1,4,NaN,NaN
1,5,NaN,NaN
1,6,NaN,NaN
1,7,NaN,NaN
1,8,NaN,NaN
1,9,NaN,NaN
1,10,NaN,NaN
1,11,NaN,NaN
1,12,NaN,NaN
1,13,NaN,NaN
1,14,NaN,NaN
1,15,NaN,NaN
1,16,NaN,NaN
1,17,NaN,NaN
1,18,NaN,NaN
1,19,NaN,NaN
1,20,NaN,NaN
1,21,NaN,NaN
1,22,NaN,NaN
1,23,NaN,NaN
1,24,NaN,NaN
1,25,NaN,NaN
1,26,NaN,NaN
1,27,NaN,NaN
1,28,NaN,NaN
1,29,NaN,NaN
1,30,NaN,NaN
1,31,856,546.099975585938
1,32,NaN,NaN
1,33,765.099975585938,532.799987792969
1,34,1041,525.400024414062
1,35,1082,612.5
1,36,1109.09997558594,578.5
1,37,NaN,NaN
1,38,975.799987792969,650.200012207031
1,39,NaN,NaN
1,40,966,507.600006103516
1,41,880.700012207031,714.099975585938
1,42,1166.59997558594,581.5
1,43,942.900024414062,466.200012207031
1,44,1029.30004882812,496.299987792969
1,45,963.400024414062,507.399993896484
1,46,993.700012207031,477.799987792969
1,47,809.5,498.100006103516
1,48,888.5,444.399993896484
1,49,1007.79998779297,624.900024414062
1,50,1001.20001220703,547.400024414062
1,51,NaN,NaN
1,52,633.900024414062,477.600006103516
1,53,890.599975585938,496.899993896484
1,54,856.299987792969,546.900024414062
1,55,879.400024414062,412.100006103516
1,56,808.900024414062,575.5
1,57,844.900024414062,427.399993896484
1,58,751.200012207031,437.200012207031
1,59,789.700012207031,353.100006103516
1,60,850.900024414062,536.799987792969
1,61,NaN,NaN
1,62,904.5,483.899993896484
1,63,941.599975585938,441.5
1,64,965.200012207031,416.299987792969
1,65,904.400024414062,475
1,66,887.400024414062,475
1,67,821,484.799987792969
1,68,NaN,NaN
1,69,954.599975585938,390.399993896484
1,70,1066.5,483.5
1,71,851.900024414062,469.100006103516
1,72,946.599975585938,432.299987792969
1,73,NaN,NaN
1,74,950,490.100006103516
1,75,791,522.400024414062
1,76,1042.5,380.100006103516
1,77,1028,430.200012207031
1,78,998.799987792969,330.100006103516
1,79,1043.80004882812,436.399993896484
1,80,NaN,NaN
1,81,1029.69995117188,421.299987792969
1,82,1025.09997558594,417.799987792969
1,83,1059,364.899993896484
1,84,1019.5,424
1,85,959.599975585938,435.200012207031
1,86,824.200012207031,428.600006103516
1,87,1204.69995117188,449.799987792969
1,88,1178.59997558594,387.399993896484
1,89,991.599975585938,420
1,90,1039.19995117188,404.100006103516
1,91,1022.59997558594,355.5
1,92,NaN,NaN
1,93,NaN,NaN
1,94,1050.19995117188,632.799987792969
1,95,1113.80004882812,470.100006103516
1,96,1103.69995117188,439.299987792969
1,97,1108.30004882812,347.799987792969
1,98,1022.59997558594,438.899993896484
1,99,1217.09997558594,521.900024414062
1,100,956.5,395.299987792969
1,101,1069.09997558594,436.5
1,102,NaN,NaN
1,103,1022.79998779297,390.399993896484
2,104,NaN,NaN
2,105,991.700012207031,378.799987792969
2,106,NaN,NaN
2,107,NaN,NaN
2,108,NaN,NaN
2,109,988.700012207031,410.700012207031
2,110,1020,420.100006103516
2,111,NaN,NaN
2,112,882.5,389.399993896484
2,113,1093,451.100006103516
2,114,951.200012207031,371.700012207031
2,115,NaN,NaN
2,116,1110.69995117188,400.899993896484
2,117,980.299987792969,418.200012207031
2,118,NaN,NaN
2,119,639.799987792969,438.799987792969
2,120,814.5,482
2,121,NaN,NaN
2,122,NaN,NaN
2,123,783.799987792969,390
2,124,907.5,391
2,125,878.200012207031,444.700012207031
2,126,659.900024414062,426.200012207031
2,127,699.099975585938,487.899993896484
2,128,840.200012207031,633.700012207031
2,129,816.799987792969,370.399993896484
2,130,829,320.200012207031
2,131,1182.40002441406,583.900024414062
2,132,809.5,570.5
2,133,NaN,NaN
2,134,776.5,387.399993896484
2,135,914.099975585938,382.700012207031
2,136,NaN,NaN
2,137,NaN,NaN
2,138,679.900024414062,528.5
2,139,672.099975585938,599.700012207031
2,140,726.799987792969,499
2,141,635.599975585938,630.400024414062
2,142,793.099975585938,542
2,143,1668,701.599975585938
2,144,661.400024414062,487.899993896484
2,145,1144.80004882812,600
2,146,NaN,NaN
2,147,901.400024414062,424.799987792969
2,148,643.799987792969,467.700012207031
2,149,NaN,NaN
2,150,738.299987792969,534.799987792969
2,151,816.599975585938,404.200012207031
2,152,721,358.600006103516
2,153,1065.09997558594,433.299987792969
2,154,608.299987792969,412.799987792969
2,155,672.700012207031,360.100006103516
2,156,679,433.899993896484
2,157,NaN,NaN
2,158,NaN,NaN
2,159,NaN,NaN
2,160,NaN,NaN
2,161,1070.19995117188,727.900024414062
2,162,709.599975585938,628.799987792969
2,163,1009.40002441406,525.799987792969
2,164,NaN,NaN
2,165,1057.09997558594,724.099975585938
2,166,NaN,NaN
2,167,NaN,NaN
2,168,NaN,NaN
2,169,NaN,NaN
2,170,885.900024414062,788.900024414062
2,171,989.299987792969,574.099975585938
2,172,864.200012207031,364.899993896484
2,173,839.400024414062,793.299987792969
2,174,NaN,NaN
2,175,NaN,NaN
2,176,759.900024414062,642.200012207031
