"","radians","pos_1","pos_2","type","degrees","map_file","PE","object","isFiller","outdoors_response","stimulus","old_new","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","location_loop.thisRepN","location_loop.thisTrialN","location_loop.thisN","location_loop.thisIndex","instructions_text.started","key_resp.started","key_resp.keys","key_resp.rt","Instructions_2_text.started","instr_2_resp.started","instr_2_resp.keys","instr_2_resp.rt","Instructions_3_text.started","Instr_3_resp.started","Instr_3_resp.keys","Instr_3_resp.rt","Instr_4_text.started","Instr_4_resp.started","Instr_4_resp.keys","Instr_4_resp.rt","text_4.started","image_feedb.started","recog_resp.started","recog_prompt.started","recog_option_left.started","recog_option_right.started","recog_resp.keys","recog_resp.rt","image_feedb_2.started","conf_resp.started","conf_prompt.started","conf_1.started","conf_2.started","conf_3.started","conf_4.started","conf_5.started","conf_6.started","conf_resp.keys","conf_resp.rt","text_4.stopped","image_2.started","predict_prompt.started","line.started","response","key_resp_2.keys","key_resp_2.rt","instructions_text_2.started","key_resp_3.started","key_resp_3.keys","key_resp_3.rt","participant","date","expName","psychopyVersion","frameRate","X","recog_acc"
"5","None","None","None","None","None","maps/google_map_1.png","None","objects/2/2_96.jpg","None","outdoors","Sphinx.jpg","new",0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,91.1522154589984,78.132993584004,78.132993584004,78.132993584004,78.132993584004,78.132993584004,"right",1.41103820799617,79.8605506669992,79.8605506669992,79.8605506669992,79.8605506669992,79.8605506669992,79.8605506669992,79.8605506669992,79.8605506669992,79.8605506669992,1,11.2747977489998,91.4022185840004,NA,NA,NA,NA,"","",NA,NA,"",NA,992,"2022-11-28_09h40.15.205","recognition","2022.2.4",59.9000269749823,NA,0
"6","4.70120448179272","238.319327731092","230.27731092437","singletons","269.495798319328","maps/google_map_1.png","None","objects/1/1_71.jpg","0.0","outdoors","TotemPole.jpg","old",0,1,1,1,0,0,0,0,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,97.8855303750024,91.6518818340046,91.6518818340046,91.6518818340046,91.6518818340046,91.6518818340046,"left",3.51075299999502,95.4519806669996,95.4519806669996,95.4519806669996,95.4519806669996,95.4519806669996,95.4519806669996,95.4519806669996,95.4519806669996,95.4519806669996,6,2.41002916599973,98.3783036250024,98.3783036250024,98.3783036250024,98.3783036250024,222.5,"['return']","[9.178794998995727]",NA,NA,"",NA,992,"2022-11-28_09h40.15.205","recognition","2022.2.4",59.9000269749823,NA,1
"8","None","None","None","None","None","maps/google_map_1.png","None","objects/2/2_81.jpg","None","outdoors","ChariotGold.jpg","new",0,2,2,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,111.551534334001,107.820590542004,107.820590542004,107.820590542004,107.820590542004,107.820590542004,"right",2.16953029099386,110.28415675,110.28415675,110.28415675,110.28415675,110.28415675,110.28415675,110.28415675,110.28415675,110.28415675,1,1.244867333,111.802010375002,NA,NA,NA,NA,"","",NA,NA,"",NA,992,"2022-11-28_09h40.15.205","recognition","2022.2.4",59.9000269749823,NA,0
"9","None","None","None","None","None","maps/google_map_1.png","None","objects/2/2_107.jpg","None","indoors","Plunger.jpg","new",0,3,3,3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,126.685923584002,112.051848584,112.051848584,112.051848584,112.051848584,112.051848584,"left",5.50852058299643,117.850021792001,117.850021792001,117.850021792001,117.850021792001,117.850021792001,117.850021792001,117.850021792001,117.850021792001,117.850021792001,4,8.80827029200009,126.936021624999,NA,NA,NA,NA,"","",NA,NA,"",NA,992,"2022-11-28_09h40.15.205","recognition","2022.2.4",59.9000269749823,NA,0
"10","2.08531791257233","148.319327731092","328.319327731092","medium","119.540517281217","maps/google_map_1.png","61.2211895501241","objects/1/1_110.jpg","0.0","outdoors","Boot_Rain.jpg","old",0,4,4,4,0,0,0,0,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,130.935836750003,127.185009417,127.185009417,127.185009417,127.185009417,127.185009417,"left",1.06419291700149,128.534643334002,128.534643334002,128.534643334002,128.534643334002,128.534643334002,128.534643334002,128.534643334002,128.534643334002,128.534643334002,6,2.38262454199867,131.407810167002,131.407810167002,131.407810167002,131.407810167002,134.5,"['return']","[4.630769291004981]",NA,NA,"",NA,992,"2022-11-28_09h40.15.205","recognition","2022.2.4",59.9000269749823,NA,1
"12","1.0368956364235502","148.319327731092","328.319327731092","low","59.43987724721","maps/google_map_1.png","1.12054951611758","objects/1/1_6.jpg","0.0","indoors","Syrup_Maple.jpg","old",0,5,5,5,0,0,0,0,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,141.985699666999,136.303895000005,136.303895000005,136.303895000005,136.303895000005,136.303895000005,"left",2.02173624899297,138.620749000002,138.620749000002,138.620749000002,138.620749000002,138.620749000002,138.620749000002,138.620749000002,138.620749000002,138.620749000002,6,3.34773233299347,142.448338374998,142.448338374998,142.448338374998,142.448338374998,30.5,"['return']","[5.357031998995808]",NA,NA,"",NA,992,"2022-11-28_09h40.15.205","recognition","2022.2.4",59.9000269749823,NA,1
"14","6.22893896519562","71.8991596638655","251.89915966386602","low","357.072934310577","maps/google_map_1.png","15.173774646711099","objects/1/1_67.jpg","0.0","indoors","Stamp.jpg","old",0,6,6,6,0,0,0,0,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,151.669074083999,148.069841750003,148.069841750003,148.069841750003,148.069841750003,148.069841750003,"left",1.91391924899654,150.268560292003,150.268560292003,150.268560292003,150.268560292003,150.268560292003,150.268560292003,150.268560292003,150.268560292003,150.268560292003,6,1.38384562399733,152.131876291998,152.131876291998,152.131876291998,152.131876291998,24.5,"['return']","[6.821237457996176]",NA,NA,"",NA,992,"2022-11-28_09h40.15.205","recognition","2022.2.4",59.9000269749823,NA,1
"16","None","None","None","None","None","maps/google_map_1.png","None","objects/2/2_112.jpg","None","indoors","HairClipper.jpg","new",0,7,7,7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,164.035416541999,159.219167374999,159.219167374999,159.219167374999,159.219167374999,159.219167374999,"right",2.35405820800224,161.868479792,161.868479792,161.868479792,161.868479792,161.868479792,161.868479792,161.868479792,161.868479792,161.868479792,1,2.13949066599889,164.286080459002,NA,NA,NA,NA,"","",NA,NA,"",NA,992,"2022-11-28_09h40.15.205","recognition","2022.2.4",59.9000269749823,NA,0
"17","None","None","None","None","None","maps/google_map_1.png","None","objects/2/2_119.jpg","None","outdoors","Statue_Jesus.jpg","new",0,8,8,8,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,167.652968916998,164.536051458999,164.536051458999,164.536051458999,164.536051458999,164.536051458999,"right",2.02297908299806,166.852035167001,166.852035167001,166.852035167001,166.852035167001,166.852035167001,166.852035167001,166.852035167001,166.852035167001,166.852035167001,1,0.772665457996482,167.902902292,NA,NA,NA,NA,"","",NA,NA,"",NA,992,"2022-11-28_09h40.15.205","recognition","2022.2.4",59.9000269749823,NA,0
"18","1.38722744858078","148.319327731092","328.319327731092","low","79.5225925938027","maps/google_map_1.png","21.203264862710302","objects/1/1_125.jpg","0.0","outdoors","Pickaxe.jpg","old",0,9,9,9,0,0,0,0,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,173.519815917003,168.152549042003,168.152549042003,168.152549042003,168.152549042003,168.152549042003,"left",3.09416220799903,171.551342084,171.551342084,171.551342084,171.551342084,171.551342084,171.551342084,171.551342084,171.551342084,171.551342084,6,1.94542474999616,173.988201500004,173.988201500004,173.988201500004,173.988201500004,119.5,"['return']","[7.693267124996055]",NA,NA,"",NA,992,"2022-11-28_09h40.15.205","recognition","2022.2.4",59.9000269749823,NA,1
