block,trial_n,x,y
1,1,664.099975585938,317.700012207031
1,2,913.400024414062,517.900024414062
1,3,1225.90002441406,475.399993896484
1,4,952.099975585938,475.200012207031
1,5,1258.40002441406,586.200012207031
1,6,1215.19995117188,505.5
1,7,1147.69995117188,485
1,8,1026.90002441406,452.600006103516
1,9,1208,632.5
1,10,1222.19995117188,473.799987792969
1,11,1015.09997558594,488.600006103516
1,12,1153.90002441406,623.400024414062
1,13,1172.30004882812,451.299987792969
1,14,1187.59997558594,770.799987792969
1,15,NaN,NaN
1,16,NaN,NaN
1,17,1127,516
1,18,973.5,575.200012207031
1,19,894.299987792969,273.200012207031
1,20,NaN,NaN
1,21,NaN,NaN
1,22,1246.40002441406,517.599975585938
1,23,1264.19995117188,440.5
1,24,1169.59997558594,586.700012207031
1,25,1006.79998779297,470.899993896484
1,26,1161.59997558594,809.400024414062
1,27,1201.5,573.200012207031
1,28,NaN,NaN
1,29,1001,464.100006103516
1,30,881,511.799987792969
1,31,1223.19995117188,537.200012207031
1,32,1176.80004882812,815.099975585938
1,33,1148.40002441406,800.400024414062
1,34,543.700012207031,440.299987792969
1,35,1372.30004882812,550.400024414062
1,36,949.400024414062,511.700012207031
1,37,847.200012207031,537.599975585938
1,38,805.799987792969,570.400024414062
1,39,888.799987792969,494.899993896484
1,40,1113.59997558594,498.100006103516
1,41,870.599975585938,389.700012207031
1,42,905.900024414062,482.700012207031
1,43,1157.69995117188,654.5
1,44,863.599975585938,596.299987792969
1,45,1085.90002441406,563.700012207031
1,46,938.5,592.700012207031
1,47,887.200012207031,499.799987792969
1,48,931,569.599975585938
1,49,NaN,NaN
1,50,889.5,426.600006103516
1,51,976.5,622
1,52,1243.69995117188,369.700012207031
1,53,862.099975585938,541.900024414062
1,54,861.900024414062,484.299987792969
1,55,1165.09997558594,667.700012207031
1,56,1155,829.900024414062
1,57,914.799987792969,562.400024414062
1,58,1143.59997558594,321
1,59,957.900024414062,530.400024414062
1,60,NaN,NaN
1,61,900.700012207031,530.099975585938
1,62,1044.40002441406,757.599975585938
1,63,807.900024414062,503.799987792969
1,64,NaN,NaN
1,65,865.799987792969,577.400024414062
1,66,867.599975585938,578.400024414062
1,67,867.5,407.5
1,68,714.700012207031,590.299987792969
1,69,835.700012207031,650.799987792969
1,70,1046.5,492.299987792969
1,71,NaN,NaN
1,72,936.799987792969,599.200012207031
1,73,1163.69995117188,829.5
1,74,971.400024414062,589.200012207031
1,75,965.700012207031,474.200012207031
1,76,875.299987792969,341.299987792969
1,77,914.299987792969,431.600006103516
1,78,866.299987792969,582.200012207031
1,79,1193.40002441406,589.599975585938
1,80,678.400024414062,501.399993896484
1,81,967.599975585938,519.900024414062
1,82,948.599975585938,721
1,83,982.799987792969,636.900024414062
1,84,892.700012207031,620.599975585938
1,85,936.599975585938,576.099975585938
1,86,860.900024414062,509
1,87,1040.69995117188,508.899993896484
1,88,969.5,508.700012207031
1,89,932.900024414062,542.200012207031
1,90,947.799987792969,620.099975585938
1,91,900.5,577.799987792969
1,92,NaN,NaN
1,93,934.900024414062,527.5
1,94,985.900024414062,572.200012207031
1,95,1259.09997558594,448.700012207031
1,96,1046.5,387.5
1,97,870.299987792969,513.099975585938
1,98,935.5,457.700012207031
1,99,1004.09997558594,560.099975585938
1,100,1025.5,409.100006103516
2,101,1064,372.100006103516
2,102,1044.90002441406,509.100006103516
2,103,657.900024414062,746
2,104,982.900024414062,596.700012207031
2,105,NaN,NaN
2,106,NaN,NaN
2,107,NaN,NaN
2,108,1161.80004882812,593
2,109,1157.80004882812,565.400024414062
2,110,1126.5,730.599975585938
2,111,637,436.399993896484
2,112,NaN,NaN
2,113,1113.30004882812,503.600006103516
2,114,953.200012207031,649.700012207031
2,115,1045.5,780.5
2,116,NaN,NaN
2,117,NaN,NaN
2,118,NaN,NaN
2,119,1153.40002441406,549
2,120,1075.30004882812,542.5
2,121,1063.59997558594,691.200012207031
2,122,1096.5,663.400024414062
2,123,693.900024414062,746.5
2,124,1206.59997558594,604.900024414062
2,125,NaN,NaN
2,126,NaN,NaN
2,127,NaN,NaN
2,128,1028.30004882812,691.400024414062
2,129,1171.09997558594,630.5
2,130,NaN,NaN
2,131,721.599975585938,737.799987792969
2,132,978.200012207031,550.799987792969
2,133,1080.5,530.200012207031
2,134,697.400024414062,766.599975585938
2,135,812.099975585938,609.400024414062
2,136,1086.19995117188,477.799987792969
2,137,736.400024414062,768.900024414062
2,138,1132.19995117188,636.299987792969
2,139,NaN,NaN
2,140,683.900024414062,721.299987792969
2,141,1107,675.599975585938
2,142,1043.59997558594,725.700012207031
2,143,1061.19995117188,613.799987792969
2,144,NaN,NaN
2,145,1099.19995117188,668.400024414062
2,146,1101.09997558594,531.5
2,147,974,629.200012207031
2,148,706.299987792969,747.799987792969
2,149,1058.09997558594,633.299987792969
2,150,1105.69995117188,510.799987792969
2,151,1112.09997558594,596.900024414062
2,152,662.700012207031,756.400024414062
2,153,1143.19995117188,502.600006103516
2,154,1017,567.400024414062
2,155,1047.59997558594,649.400024414062
2,156,683.099975585938,468.399993896484
2,157,1098.69995117188,586.799987792969
