"list","radians","center","pos_1","pos_2","type","trial_type","degrees","human_manmade","cat_obj","old_new","key1","key2","response","map_file","PE","sequence","object","isFiller","key_resp.keys","key_resp2.keys","stimulus","truck","natural_manmade_resp.corr","natural_manmade_resp.keys","participant","handedness","conf_resp.keys","phase","key_resp_5.keys","age","gender"
"lists/27/stimuli_position_map_1_seq_2.csv","3.79367089858427","142.285714285714","232.285714285714","52.2857142857143","medium","target","217.471580173621","natural","0.0","old",NA,NA,60,"google_map_1.png","75.1858658879064","2.0","objects/1/1_17.jpg","0.0","","","Blueberry.jpg","truck_1.png",NA,"","27","r",2,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","3.79367089858427","142.285714285714","232.285714285714","52.2857142857143","medium","target","217.471580173621","natural","0.0","old",NA,NA,NA,"google_map_1.png","75.1858658879064","2.0","objects/1/1_17.jpg","0.0","","","Blueberry.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","None","None","None","None","None","None","None","natural","None","new",NA,NA,NA,"None","None","None","objects/2/2_35.jpg","None","","","Bird_Duck.jpg","None",NA,"","27","r",2,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","None","None","None","None","None","None","None","natural","None","new",NA,NA,NA,"None","None","None","objects/2/2_125.jpg","None","","","Boar.jpg","None",NA,"","27","r",2,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","None","None","None","None","None","None","None","natural","None","new",NA,NA,NA,"None","None","None","objects/2/2_99.jpg","None","","","Nuts_Peanuts.jpg","None",NA,"","27","r",3,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","None","None","None","None","None","None","None","human-made","None","new",NA,NA,NA,"None","None","None","objects/2/2_88.jpg","None","","","Bat_Baseball.jpg","None",NA,"","27","r",2,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","0.227950513538749","52.2857142857143","52.2857142857143","145.806722689076","singletons","singletons","13.0672268907563","human-made","0.0","old",NA,NA,138,"google_map_1.png","None","1.0","objects/1/1_37.jpg","0.0","","","ComputerKeyboard.jpg","truck_1.png",NA,"","27","r",5,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","0.227950513538749","52.2857142857143","52.2857142857143","145.806722689076","singletons","singletons","13.0672268907563","human-made","0.0","old",NA,NA,NA,"google_map_1.png","None","1.0","objects/1/1_37.jpg","0.0","","","ComputerKeyboard.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","None","None","None","None","None","None","None","human-made","None","new",NA,NA,NA,"None","None","None","objects/2/2_118.jpg","None","","","Hose_Garden.jpg","None",NA,"","27","r",3,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","3.38261001437818","142.285714285714","232.285714285714","52.2857142857143","medium","target","193.907580442061","human-made","0.0","old",NA,NA,233,"google_map_1.png","51.6218661563471","2.0","objects/1/1_65.jpg","0.0","","","Hanger.jpg","truck_1.png",NA,"","27","r",2,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","3.38261001437818","142.285714285714","232.285714285714","52.2857142857143","medium","target","193.907580442061","human-made","0.0","old",NA,NA,NA,"google_map_1.png","51.6218661563471","2.0","objects/1/1_65.jpg","0.0","","","Hanger.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","None","None","None","None","None","None","None","human-made","None","new",NA,NA,NA,"None","None","None","objects/2/2_107.jpg","None","","","Weights_Dumbells.jpg","None",NA,"","27","r",2,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","2.70719338674993","142.285714285714","232.285714285714","52.2857142857143","low","target","155.18942981369","natural","0.0","old",NA,NA,337,"google_map_1.png","12.9037155279762","2.0","objects/1/1_77.jpg","0.0","","","Leaf_Yellow.jpg","truck_1.png",NA,"","27","r",3,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","2.70719338674993","142.285714285714","232.285714285714","52.2857142857143","low","target","155.18942981369","natural","0.0","old",NA,NA,NA,"google_map_1.png","12.9037155279762","2.0","objects/1/1_77.jpg","0.0","","","Leaf_Yellow.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","3.50047130932714","142.285714285714","232.285714285714","52.2857142857143","medium","target","200.663960407288","human-made","0.0","old",NA,NA,263,"google_map_1.png","58.3782461215742","2.0","objects/1/1_78.jpg","0.0","","","WateringCan_PlasticDarkGreen.jpg","truck_1.png",NA,"","27","r",3,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","3.50047130932714","142.285714285714","232.285714285714","52.2857142857143","medium","target","200.663960407288","human-made","0.0","old",NA,NA,NA,"google_map_1.png","58.3782461215742","2.0","objects/1/1_78.jpg","0.0","","","WateringCan_PlasticDarkGreen.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","1.01734827264239","52.2857142857143","322.285714285714","317.764705882353","singletons","singletons","58.3193277310924","natural","0.0","old",NA,NA,95,"google_map_1.png","None","1.0","objects/1/1_108.jpg","0.0","","","Lynx.jpg","truck_1.png",NA,"","27","r",5,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","1.01734827264239","52.2857142857143","322.285714285714","317.764705882353","singletons","singletons","58.3193277310924","natural","0.0","old",NA,NA,NA,"google_map_1.png","None","1.0","objects/1/1_108.jpg","0.0","","","Lynx.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","None","None","None","None","None","None","None","natural","None","new",NA,NA,NA,"None","None","None","objects/2/2_19.jpg","None","","","Earth_Planet.jpg","None",NA,"","27","r",2,"retrieval","",22,"f"
