"trials","trial_all","w1","w2","w3","w4","w5","correct","task","trialBlock.thisRepN","trialBlock.thisTrialN","trialBlock.thisN","trialBlock.thisIndex","word_1.started","word_2.started","word_3.started","word_4.started","word_5.started","SAW_choice.x","SAW_choice.y","SAW_choice.leftButton","SAW_choice.midButton","SAW_choice.rightButton","SAW_choice.time","SAW_choice.clicked_name","feedbackText.started","choice_correct","feedbackText.stopped","participant","date","expName","psychopyVersion","frameRate","X"
1,1,"Bamu","Paum","Buma","Baum","Baun","word_4","practice",0,0,0,0,61.678592791257,61.678592791257,61.678592791257,61.678592791257,61.678592791257,"[0.0109375]","[-0.1640625]","[1]","[0]","[0]","[20.63845766260056]","['word_4']",82.3182570286444,1,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
2,2,"Purk","Brug","Lurk","Krub","Burg","word_5","practice",0,1,1,1,83.8377766310005,83.8377766310005,83.8377766310005,83.8377766310005,83.8377766310005,"[0.015625]","[0.153125]","[1]","[0]","[0]","[5.478047683776822]","['word_2']",89.300029154052,0,90.3018601842341,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
3,3,"Maschine","Mischane","Schamire","Meschina","Manischa","word_1","practice",0,2,2,2,90.8346575614414,90.8346575614414,90.8346575614414,90.8346575614414,90.8346575614414,"[0.0734375]","[0.0]","[1]","[0]","[0]","[4.992686142679304]","['word_3']",95.795688916638,0,96.7974253323628,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
1,4,"siziol","salzahl","sozihl","sziam","sozial","word_5","main",0,3,3,3,126.870615542342,126.870615542342,126.870615542342,126.870615542342,126.870615542342,"[0.0453125]","[-0.3046875]","[1]","[0]","[0]","[3.9402132898685522]","['word_5']",NA,1,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
2,5,"Lamone","Talane","Matrone","Tarone","Malonte","word_3","main",0,4,4,4,132.297710939718,132.297710939718,132.297710939718,132.297710939718,132.297710939718,"[-0.0171875]","[0.159375]","[1]","[0]","[0]","[5.259224668261595]","['word_2']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
3,6,"kurinesisch","kulinarisch","kumenisch","kulissarisch","kannastrisch","word_2","main",0,5,5,5,139.044089691946,139.044089691946,139.044089691946,139.044089691946,139.044089691946,"[0.096875]","[0.303125]","[1]","[0]","[0]","[5.893870170344599]","['word_1']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
4,7,"Tinxur","Kukutur","Fraktan","Tinktur","Rimsuhr","word_4","main",0,6,6,6,146.424593406438,146.424593406438,146.424593406438,146.424593406438,146.424593406438,"[0.046875]","[0.1453125]","[1]","[0]","[0]","[4.8754030335112475]","['word_2']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
5,8,"beralen","gerältet","anälteren","untären","verbrämen","word_5","main",0,7,7,7,152.786876302329,152.786876302329,152.786876302329,152.786876302329,152.786876302329,"[0.06875]","[0.1375]","[1]","[0]","[0]","[3.75667472864734]","['word_2']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
6,9,"Rosto","Torso","Soro","Torgos","Tosor","word_2","main",0,8,8,8,158.03025962523,158.03025962523,158.03025962523,158.03025962523,158.03025962523,"[0.0359375, 0.0375]","[0.2640625, 0.3]","[1, 1]","[0, 0]","[0, 0]","[4.90945749997627, 5.276789600262418]","['word_1']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
7,10,"Redor","Radium","Terion","Dramin","Orakium","word_2","main",0,9,9,9,164.793170889374,164.793170889374,164.793170889374,164.793170889374,164.793170889374,"[0.0734375]","[0.1546875]","[1]","[0]","[0]","[1.920368951454293]","['word_2']",NA,1,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
8,11,"Nale","Sahe","Nase","Nesa","Sehna","word_3","main",0,10,10,10,168.199739441392,168.199739441392,168.199739441392,168.199739441392,168.199739441392,"[0.028125]","[0.3015625]","[1]","[0]","[0]","[5.460206605901476]","['word_1']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
9,12,"Rilkiase","Kilister","Riliker","Klistier","Linkure","word_4","main",0,11,11,11,175.146495240217,175.146495240217,175.146495240217,175.146495240217,175.146495240217,"[-0.0140625]","[-0.1234375]","[1]","[0]","[0]","[5.093598707113415]","['word_4']",NA,1,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
10,13,"kentern","knerte","kanzen","kretern","trekern","word_1","main",0,12,12,12,181.725813740399,181.725813740399,181.725813740399,181.725813740399,181.725813740399,"[0.0328125]","[-0.015625]","[1]","[0]","[0]","[2.1867435855674557]","['word_3']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
11,14,"Sorekin","Rimsuhr","Rosakin","Narosin","Kerosin","word_5","main",0,13,13,13,185.399767537077,185.399767537077,185.399767537077,185.399767537077,185.399767537077,"[0.0359375]","[0.0109375]","[1]","[0]","[0]","[4.8584654434234835]","['word_3']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
12,15,"Ralke","Korre","Ruckse","Recke","Ulte","word_4","main",0,14,14,14,191.744766778604,191.744766778604,191.744766778604,191.744766778604,191.744766778604,"[0.0390625]","[0.284375]","[1]","[0]","[0]","[5.242814994766377]","['word_1']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
13,16,"Kapaun","Paukan","Naupack","Aupeck","Ankepran","word_1","main",0,15,15,15,198.474493067013,198.474493067013,198.474493067013,198.474493067013,198.474493067013,"[0.0578125]","[0.140625]","[1]","[0]","[0]","[5.292989839043003]","['word_2']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
14,17,"Dissonanz","Diskrisanz","Distranz","Dinotanz","Dinotanz","word_1","main",0,16,16,16,205.254296698724,205.254296698724,205.254296698724,205.254296698724,205.254296698724,"[-0.0484375]","[-0.009375]","[1]","[0]","[0]","[11.789496000099462]","['word_3']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
15,18,"Kirse","Sirke","Krise","Krospe","Seris","word_3","main",0,17,17,17,218.529872347484,218.529872347484,218.529872347484,218.529872347484,218.529872347484,"[0.046875]","[0.2921875]","[1]","[0]","[0]","[8.031539967225399]","['word_1']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
16,19,"Tume","Umat","Maut","Taum","Muta","word_3","main",0,18,18,18,228.047864327382,228.047864327382,228.047864327382,228.047864327382,228.047864327382,"[0.0203125]","[-0.01875]","[1]","[0]","[0]","[4.8596001753467135]","['word_3']",NA,1,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
17,20,"Tuhl","Tuhl","Lest","Dall","Lid","word_5","main",0,19,19,19,234.39335075306,234.39335075306,234.39335075306,234.39335075306,234.39335075306,"[0.025]","[-0.1765625]","[1]","[0]","[0]","[8.533630625810474]","['word_4']",NA,0,NA,101,"2022-12-19_09h37.20.233","SAW","2022.2.4",59.888536733129,NA
